name,movie_url,rate,rating_people,director,writer,actor,genre,place,language,year,movietime,comment,review
战·鼓,https://movie.douban.com/subject/1941257/,6.3,4247,毕国智,毕国智,房祖名/李心洁/梁家辉/原丽淇/卢惠光/何超仪/张耀扬,剧情/犯罪,香港/台湾/德国,粤语/汉语普通话,2007,HongKong:118分钟,(全部617条),(全部55条)
只是朋友,https://movie.douban.com/subject/4172525/,7.1,4719,金光秀,,李帝勋/徐智厚,剧情/爱情/同性,韩国,韩语,2009,27分钟,(全部1160条),(全部12条)
男友从军记,https://movie.douban.com/subject/3077693/,6.2,4307,柳升进,柳升进,张根硕/孙泰英/刘仁英/安信源/张熙珍,喜剧/爱情,韩国,韩语,2008,108分钟,(全部632条),(全部13条)
生命是个奇迹,https://movie.douban.com/subject/1416895/,8.7,4582,埃米尔·库斯图里卡,埃米尔·库斯图里卡,斯拉夫科·斯提马科/娜塔莎·塔普什科维奇/乌克·科斯蒂奇/亚力克斯桑德·贝奇科/米尔亚娜·卡拉诺维奇/维斯娜切瓦里克/尼古拉·科约/达沃尔·贾尼奇/达娜托多罗维茨/温内莎格拉丘,剧情/喜剧/爱情/战争,塞尔维亚和黑山/法国/意大利,塞尔维亚语/英语/德语/匈牙利语,2004,154分钟,(全部1172条),(全部35条)
精彩的一天,https://movie.douban.com/subject/3319775/,7.5,4732,李胤基,朴恩泳,全度妍/吴智恩/河正宇/崔日华/纪柱峰/韩孝周,剧情/爱情,韩国,韩语,2008,123分钟,(全部1434条),(全部47条)
火线追凶之黑枪疑云,https://movie.douban.com/subject/3862259/,7.6,3610,胡明凯/邓衍成,吴峥,钟汉良/释小龙/齐芳/涂黎曼/公方明,剧情/动作/悬疑,中国,汉语普通话,2009,85分钟,(全部299条),(全部5条)
六壮士,https://movie.douban.com/subject/1358468/,6.1,3649,黄真真,邓洁明,林子祥/郑伊健/杜汶泽/李克勤/许志安/谭俊彦/林嘉欣/黄奕/曾江/何超仪/郑丹瑞/黄真真/卢巧音,喜剧,香港/中国,粤语,2004,107分钟,(全部392条),(全部12条)
欢乐树的朋友们,https://movie.douban.com/subject/4181031/,9.1,4474,Rhode Montijo/Kenn Navarro,沃伦·格拉夫,,喜剧/动画,美国,英语,2006,74分钟,(全部704条),(全部1条)
夏日的冲绳,https://movie.douban.com/subject/1796085/,7.6,4446,宫本理江子,秦建日子,市原隼人/井上真央/柄本佑/平冈祐太/伊藤步/阵内孝则/玉山铁二/山口纱弥加/树木希林/柳泽慎吾,剧情/歌舞,日本,日语,2006,Japan:117分钟,(全部1044条),(全部26条)
疯魔美女,https://movie.douban.com/subject/2302162/,5.7,4511,Piraphan Laoyont/Thodsapol Siriwiwat,Piraphan Laoyont,DollarosDachapratumwan/WichanJarujinda/坎雅·拉坦娜佩琦/ChidjanRujiphun,恐怖/犯罪,泰国,泰语,2007,82分钟,(全部1165条),(全部33条)
