name,movie_url,rate,rating_people,director,writer,actor,genre,place,language,year,movietime,comment,review
这个杀手不太冷,https://movie.douban.com/subject/1295644/,9.4,1275326,吕克·贝松,吕克·贝松,让·雷诺/娜塔莉·波特曼/加里·奥德曼/丹尼·爱罗/彼得·阿佩尔/迈克尔·巴达鲁科/艾伦·格里尼/伊丽莎白·瑞根/卡尔·马图斯维奇/弗兰克·赛格/麦温/乔治·马丁/罗伯特·拉萨多/亚当·布斯奇/马里奥·托迪斯科/萨米·纳塞利,剧情/动作/犯罪,法国,英语/意大利语/法语,1994,110分钟,(全部229425条),(全部4467条)
肖申克的救赎,https://movie.douban.com/subject/1292052/,9.6,1396146,弗兰克·德拉邦特,弗兰克·德拉邦特,蒂姆·罗宾斯/摩根·弗里曼/鲍勃·冈顿/威廉姆·赛德勒/克兰西·布朗/吉尔·贝罗斯/马克·罗斯顿/詹姆斯·惠特摩/杰弗里·德曼/拉里·布兰登伯格/尼尔·吉恩托利/布赖恩·利比/大卫·普罗瓦尔/约瑟夫·劳格诺/祖德·塞克利拉/保罗·麦克兰尼/芮妮·布莱恩/阿方索·弗里曼/V·J·福斯特/弗兰克·梅德拉诺/马克·迈尔斯/尼尔·萨默斯/耐德·巴拉米/布赖恩·戴拉特/唐·麦克马纳斯,剧情/犯罪,美国,英语,1994,142分钟,(全部271156条),(全部7658条)
阿甘正传,https://movie.douban.com/subject/1292720/,9.4,1099509,罗伯特·泽米吉斯,艾瑞克·罗斯,汤姆·汉克斯/罗宾·怀特/加里·西尼斯/麦凯尔泰·威廉逊/莎莉·菲尔德/海利·乔·奥斯蒙/迈克尔·康纳·亨弗里斯/HaroldG.Herthum/山姆·安德森/IoneM.Telech/彼得·道博森/希芳·法隆/ElizabethHanks/汉娜·豪尔/ChristopherJones/RobLandry/JasonMcGuire/桑尼·施罗耶/EdDavis/丹尼尔C.斯瑞派克/大卫·布里斯宾/DeborahMcTeer/AlHarrington/阿非莫·奥米拉/JohnVoldstad/MichaelBurgess/EricUnderwood/ByronMinns/斯蒂芬·布吉格沃特/JohnWilliamGalt/HilaryChaplain/IsabelRose/RichardD'Alessandro/DickStilwell/迈克尔-杰斯/杰弗里·布莱克/瓦妮莎·罗斯/迪克·卡维特/马拉·苏查雷特扎/JoeAlaskey/W.BensonTerry,剧情/爱情,美国,英语,1994,142分钟,(全部179382条),(全部3904条)
泰坦尼克号,https://movie.douban.com/subject/1292722/,9.3,1039984,詹姆斯·卡梅隆,詹姆斯·卡梅隆,莱昂纳多·迪卡普里奥/凯特·温丝莱特/比利·赞恩/凯西·贝茨/弗兰西丝·费舍/格劳瑞亚·斯图尔特/比尔·帕克斯顿/伯纳德·希尔/大卫·沃纳/维克多·加博/乔纳森·海德/苏茜·爱米斯/刘易斯·阿伯内西/尼古拉斯·卡斯柯恩/阿那托利·萨加洛维奇/丹尼·努齐/杰森·贝瑞/伊万·斯图尔特/艾恩·格拉法德/乔纳森·菲利普斯/马克·林赛·查普曼/理查德·格拉翰/保罗·布赖特威尔/艾瑞克·布里登/夏洛特·查顿/博纳德·福克斯/迈克尔·英塞恩/法妮·布雷特/马丁·贾维斯/罗莎琳·艾尔斯/罗切尔·罗斯/乔纳森·伊万斯-琼斯/西蒙·克雷恩/爱德华德·弗莱彻/斯科特·安德森/马丁·伊斯特/克雷格·凯利/格雷戈里·库克/利亚姆·图伊/詹姆斯·兰开斯特/艾尔莎·瑞雯/卢·帕尔特/泰瑞·佛瑞斯塔/凯文·德·拉·诺伊,剧情/爱情/灾难,美国,英语/意大利语/德语/俄语,1997,194分钟,(全部159009条),(全部2384条)
霸王别姬,https://movie.douban.com/subject/1291546/,9.6,1033745,陈凯歌,芦苇,张国荣/张丰毅/巩俐/葛优/英达/蒋雯丽/吴大维/吕齐/雷汉/尹治/马明威/费振翔/智一桐/李春/赵海龙/李丹/童弟/沈慧芬/黄斐,剧情/爱情/同性,中国大陆/香港,汉语普通话,1993,171分钟,(全部220653条),(全部6330条)
海上钢琴师,https://movie.douban.com/subject/1292001/,9.2,815528,朱塞佩·托纳多雷,亚利桑德罗·巴里克,蒂姆·罗斯/普路特·泰勒·文斯/比尔·努恩/克兰伦斯·威廉姆斯三世/梅兰尼·蒂埃里/加布里埃莱·拉维亚/皮特·沃恩/NiallO'Brien/阿尔贝托·巴斯克斯/LuigiDeLuca/费米·依鲁福祖/EastonGage/CoryBuck/SidneyCole/布莱恩·普林格/希思科特·威廉姆斯/尼古拉·迪·平托/凯文·麦克纳利/沙拉·鲁宾/阿妮妲·扎格利亚/AngeloDiLoreta,剧情/音乐,意大利,英语/法语/意大利语,1998,165分钟,(全部147863条),(全部5266条)
大话西游之大圣娶亲,https://movie.douban.com/subject/1292213/,9.2,768077,刘镇伟,刘镇伟,周星驰/吴孟达/朱茵/蔡少芬/蓝洁瑛/莫文蔚/罗家英/刘镇伟/陆树铭/李健仁,喜剧/爱情/奇幻/古装,香港/中国大陆,粤语/汉语普通话,1995,95分钟,(全部126080条),(全部3535条)
楚门的世界,https://movie.douban.com/subject/1292064/,9.2,759086,彼得·威尔,安德鲁·尼科尔,金·凯瑞/劳拉·琳妮/艾德·哈里斯/诺亚·艾默里奇/娜塔莎·麦克艾霍恩,剧情/科幻,美国,英语,1998,103分钟,(全部145702条),(全部4181条)
大话西游之月光宝盒,https://movie.douban.com/subject/1299398/,9.0,620067,刘镇伟,刘镇伟,周星驰/吴孟达/罗家英/蓝洁瑛/莫文蔚/江约诚/陆树铭/刘镇伟/朱茵/李健仁,喜剧/爱情/奇幻/古装,香港/中国大陆,粤语/汉语普通话,1995,87分钟,(全部59509条),(全部605条)
剪刀手爱德华,https://movie.douban.com/subject/1292370/,8.7,639330,蒂姆·波顿,蒂姆·波顿,约翰尼·德普/薇诺娜·瑞德/黛安·韦斯特/安东尼·迈克尔·豪尔/凯西·贝克/罗伯特·奥利维里/康查塔·费雷尔/卡罗琳·阿隆/迪克·安东尼·威廉姆斯/澳澜·琼斯/文森特·普莱斯/艾伦·阿金/苏珊·布洛马特/约翰·戴维森/BryanLarkin/VictoriaPrice/StuartLancaster/GinaGallagher/阿隆·鲁斯汀/阿兰·弗吉/史蒂文·布里尔/PeterPalmer/马克·麦考利/DonnaPieroni/KenDeVaul/KathyDombo/TabethaThomas/尼克·卡特,剧情/爱情/奇幻,美国,英语,1990,105分钟,(全部99975条),(全部1890条)
