name,url,rate,box,director,writer,actor,genre,place,language,releasedate,movietime
变形金刚4：绝迹重生,https://movie.douban.com/subject/7054604/,6.5,1964950000,迈克尔·贝,伊伦·克鲁格,马克·沃尔伯格/斯坦利·图齐/凯尔希·格兰莫/妮可拉·佩尔茨/杰克·莱诺/提图斯·维里沃/索菲娅·迈尔斯/李冰冰/T·J·米勒/彼特·库伦/约翰·迪·玛吉欧/罗伯特·福克沃斯/约翰·古德曼/马克·瑞安/渡边谦/弗兰克·维尔克/雷诺·维尔森/阿比盖尔·克莱恩/托马斯·列农/韩庚/巫刚/吕良伟/王敏德/纪培慧/邹市明,动作/科幻,美国/中国大陆,英语/汉语普通话/粤语,2014-06-27,166分钟
心花路放,https://movie.douban.com/subject/25717233/,7.1,1149110000,宁浩,岳小军,黄渤/徐峥/袁泉/周冬雨/陶慧/岳小军/沈腾/张俪/马苏/刘美含/王砚辉/焦俊艳/郭涛/李晨/熊乃瑾/夏雨/刘仪伟/雷佳音/雍梦婷/梁浩,喜剧/爱情,中国大陆,汉语普通话/粤语/云南方言,2014-09-30,118分钟
西游记之大闹天宫,https://movie.douban.com/subject/5317291/,4.2,1028930000,郑保瑞,黄子桓,甄子丹/周润发/郭富城/何润东/海一天/夏梓桐/陈乔恩/陈慧琳/梁咏琪/张梓琳/郑家星/刘桦/张兆辉/罗仲谦/李菁/汪圆圆/梁雨恩,动作/奇幻,中国大陆/香港,汉语普通话/粤语,2014-01-31,119分钟
智取威虎山,https://movie.douban.com/subject/10807909/,7.7,883140000,徐克,黄建新,张涵予/梁家辉/林更新/余男/佟丽娅/韩庚/陈晓/谢苗/吴旭东/杜奕衡/海一天/张立/释彦能/孙蛟龙/程思寒/元武/肖轶/王尧/杨一威,动作/战争/冒险,中国大陆/香港,汉语普通话/英语,2014-12-23,141分钟
星际穿越,https://movie.douban.com/subject/1889243/,9.2,747990000,克里斯托弗·诺兰,乔纳森·诺兰,马修·麦康纳/安妮·海瑟薇/杰西卡·查斯坦/卡西·阿弗莱克/迈克尔·凯恩/马特·达蒙/麦肯吉·弗依/蒂莫西·柴勒梅德/艾伦·伯斯汀/约翰·利思戈/韦斯·本特利/大卫·吉雅西/比尔·欧文/托弗·戈瑞斯/科莱特·沃夫/弗朗西斯·X·麦卡蒂/安德鲁·博尔巴/乔什·斯图沃特/莱雅·卡里恩斯/利亚姆·迪金森/杰夫·赫普内尔/伊莱耶斯·加贝尔/布鲁克·史密斯/大卫·奥伊罗/威廉姆·德瓦内/拉什·费加/格里芬·弗雷泽/弗洛拉·诺兰,剧情/科幻/冒险,美国/英国/加拿大/冰岛,英语,2014-11-12,169分钟
X战警：逆转未来,https://movie.douban.com/subject/10485647/,8.2,718600000,布莱恩·辛格,西蒙·金伯格,休·杰克曼/詹姆斯·麦卡沃伊/迈克尔·法斯宾德/詹妮弗·劳伦斯/哈莉·贝瑞/尼古拉斯·霍尔特/埃文·彼得斯/伊恩·麦克莱恩/帕特里克·斯图尔特/艾伦·佩吉/安娜·帕奎因/彼特·丁拉基/肖恩·阿什莫/卢卡斯·提尔/丹尼尔·库德摩尔/波波·斯图尔特/奥玛·希/范冰冰/阿丹·坎托/乔什·赫尔曼,动作/科幻/冒险,美国/英国,英语/越南语/法语,2014-05-23,131分钟
美国队长2,https://movie.douban.com/subject/6390823/,7.9,712490000,安东尼·罗素,克里斯托弗·马库斯,克里斯·埃文斯/斯嘉丽·约翰逊/塞巴斯蒂安·斯坦/安东尼·麦凯/海莉·阿特维尔/艾米丽·万凯普/罗伯特·雷德福/塞缪尔·杰克逊/寇碧·史莫德斯/卡兰·马尔韦/弗兰克·格里罗/斯坦·李/托比·琼斯/珍妮·艾加特/乔治·圣皮埃尔/盖瑞·山德林/阿兰·戴尔/黄经汉/阿德托库姆布斯·麦克马克/多米尼克·瑞恩斯,动作/科幻/冒险,美国,英语/法语,2014-04-04,136分钟
猩球崛起2：黎明之战,https://movie.douban.com/subject/7046723/,7.5,711540000,马特·里夫斯,马克·鲍姆贝克,安迪·瑟金斯/杰森·克拉克/加里·奥德曼/凯丽·拉塞尔/托比·凯贝尔/柯蒂·斯密特-麦菲/柯克·埃斯沃多/尼克·瑟斯顿/泰瑞·诺塔里/卡琳·考诺娃/朱迪·格雷尔/乔恩·阿兹/恩里克·穆西安诺/拉勒米·道克·肖/李·罗斯,剧情/动作/科幻,美国,英语/美国手语,2014-08-29,130分钟
爸爸去哪儿,https://movie.douban.com/subject/25785314/,5.9,685790000,谢涤葵,王海峰,林志颖/小小志/王岳伦/王诗龄/张亮/张悦轩/田亮/田雨橙/郭涛/郭子睿/李锐/何炅,喜剧/家庭/儿童,中国大陆,汉语普通话,2014-01-31,95分钟
分手大师,https://movie.douban.com/subject/24879858/,5.0,656080000,俞白眉,俞白眉,邓超/杨幂/古力娜扎/栾元晖/秦越/许可嘉/梁超/赵曼竹/孙俪/柳岩/谢楠,喜剧/爱情,中国大陆,汉语普通话/克里奥尔语/英语/日语/上海话,2014-06-27,116分钟
