name,url,rate,box,director,writer,actor,genre,place,language,releasedate,movietime
大黄蜂,https://movie.douban.com/subject/26394152/,7.1,1058060000,特拉维斯·奈特,克里斯蒂娜·霍德森,海莉·斯坦菲尔德/小豪尔赫·兰登伯格/约翰·塞纳/杰森·德鲁克/帕梅拉·阿德龙/斯蒂芬·施耐德/里卡多·霍约斯/约翰·奥提兹/格林·特鲁曼/兰·卡琉/格蕾丝·达斯恩妮/弗里德·杜莱尔/蓝尼·雅各布森/梅金·普莱斯/萨钦·巴特/蒂姆·马丁·格里森/安东尼奥·查丽蒂/艾德文·霍德吉/拉斯·斯兰德/迪伦·奥布莱恩/彼特·库伦/安吉拉·贝塞特/贾斯汀·塞洛克斯/大卫·索博洛夫/格蕾·德丽斯勒/史蒂夫·布卢姆/安德鲁·莫尔加多/威廉·W·巴伯/罗伯特·切斯纳特/米歇尔·方/克里斯蒂安·哈切森/里克·理查森/瓦内萨·罗斯/波士顿·拉什·弗里曼/托尼·托斯特/迪娜·特鲁迪/艾蒂安·维克,动作/科幻/冒险,美国,英语,2019-01-04,114分钟
“大”人物,https://movie.douban.com/subject/26816076/,6.5,334670000,五百,胡蓉蓉,王千源/包贝尔/王迅/王砚辉/屈菁菁/周游/韩烨洲/盖玥希/刘敏涛/梅婷/潘粤明/乔振宇/景岗山/杜源/高捷/寇占文/刘天佐/马浴柯/霍青/邢瀚卿/李蓓蕾/万沛鑫/张皓然/谢孟伟/姜寒/肖涵/吕晓霖/马京京/黎宇航/成方旭/王子清/王昱涵/王昱淇/郭紫铭/要武/滕根/张奥,动作/犯罪,中国大陆,汉语普通话,2019-01-10,107分钟
白蛇：缘起,https://movie.douban.com/subject/30331149/,7.9,298520000,黄家康,大毛,张喆/杨天翔/唐小喜/刘薇/张遥函/郑小璞/张博恒/张赫/马程/程寅/陈霖生/惠龙/林强/章斌,爱情/动画/奇幻,中国大陆/美国,汉语普通话,2019-01-11,99分钟
死侍2：我爱我家,https://movie.douban.com/subject/26588308/,7.3,151710000,大卫·雷奇,瑞特·里斯,瑞恩·雷诺兹/乔什·布洛林/朱利安·迪尼森/斯蒂芬·卡皮契奇/莎姬·贝兹/T·J·米勒/莱斯利·格塞斯/卡兰·索尼/布里安娜·希德布兰德/莫蕾娜·巴卡琳/杰克·凯西/埃迪·马森/忽那汐里/兰德尔·瑞德/尼古莱·维切尔/赛尔·哈里斯/罗伯·德兰尼/刘易斯·谭/比尔·斯卡斯加德/泰瑞·克鲁斯/布拉德·皮特/罗伯特·梅耶/艾伦·图代克/马特·达蒙/海莉·塞尔斯/麦克·多普德/卢克·勒斯勒尔/亨特·狄龙/大卫·雷奇/山姆·哈格雷夫/尼古拉斯·霍尔特,喜剧/动作/科幻/冒险,美国,英语,2019-01-25,119分钟
密室逃生,https://movie.douban.com/subject/27109679/,7.3,151060000,亚当·罗比特尔,布拉吉·F·舒特,泰勒·拉塞尔/洛根·米勒/黛博拉·安沃尔/泰勒·莱伯恩/杰·埃利斯/尼克·多达尼/杰西卡·萨顿/约里克·范·韦杰宁根/杰米-李·蒙尼/亚当·罗比特尔/韦尔·廷德尔/肯尼思·霍/科尼利厄斯·吉尼/保罗·汉普赛尔/佩泰·塞彭克/丹·格伦伯格/吉诺·李,悬疑/惊悚,美国,英语,2019-01-18,100分钟
掠食城市,https://movie.douban.com/subject/4221462/,6.5,45470000,克里斯蒂安·瑞沃斯,弗兰·威尔士,海拉·西尔玛/雨果·维文/金吉/罗伯特·席安/莱拉·乔治/史蒂芬·朗/弗兰基·亚当斯/凯伦·皮斯托里斯/科林·萨蒙/安德鲁斯·李斯/莎拉·慕恩/罗南·拉夫特瑞/乔尔·托贝克/帕特里克·麦拉海德/史蒂芬·乌瑞/马尼克·古纳拉塔尼/菲利普·里夫/纳撒尼尔·利斯/雷吉-让·佩吉/卡卢姆·吉廷斯/安佑森/马克·哈德洛/马克米钦森/索菲·考克斯/莎拉·皮尔斯/奇·陈/约瑟夫·米卡-亨特/特里·诺瑞斯/安龙·杰克森/梅根·爱德华兹/尼克·布雷克/玛丽亚·沃克/阿曼·韦弗/玛德琳·亚当斯/马丁·郭/罗德尼·库克,动作/科幻/冒险,美国/新西兰,英语,2019-01-18,128分钟
熊出没·原始时代,https://movie.douban.com/subject/30335059/,6.6,39550000,丁亮,徐芸,张伟/张秉君/谭笑/宋祖儿/刘思奇/万丹青/刘沛/孟雨田,喜剧/动画/冒险,中国大陆,汉语普通话,2019-02-05,88分钟
一条狗的回家路,https://movie.douban.com/subject/27193043/,6.8,31390000,查尔斯·马丁·史密斯,W·布鲁斯·卡梅伦,艾什莉·贾德/乔纳·豪尔-金/亚历山德拉·希普/韦斯·斯塔迪/布莱丝·达拉斯·霍华德/巴里·沃森/克里斯·鲍尔/塔米·吉利斯/派崔克·盖勒/爱德华·詹姆斯·奥莫斯/露西娅·沃尔特斯/莱恩·爱德华兹/约翰·卡西尼/本杰明·拉特纳/斯宾塞·德雷弗/阿丽尔·图里奥/詹妮弗·吉布森/罗南多·博伊斯/法拉赫·阿维瓦/达西·劳瑞/特洛伊·鲁道夫,冒险,美国,英语,2019-01-18,96分钟
家和万事惊,https://movie.douban.com/subject/27604296/,6.0,25890000,邱礼涛,张达明,吴镇宇/古天乐/袁咏仪/张达明/吴肇轩/蔡颂思/黄秋生/林雪/郑丹瑞/卢海鹏/雷琛瑜/江美仪/麦长青/阮文泰/孔令令/梁山山/杨玉梅/谷德昭/利颖怡/李灿森/马蹄露/黄文慧/泰臣/胡枫/苑琼丹/杨诗敏/乔宝宝/庄思敏/王俊棠/刘浩龙/林子聪/陆永/郑诗君/余子明/徐浩昌/安德尊/杨偲泳/罗家英/郑欣宜/麦玲玲,喜剧/家庭,中国大陆/香港,粤语,2019-01-18,92分钟
命运之夜——天之杯：恶兆之花,https://movie.douban.com/subject/25937991/,7.5,24700000,须藤友德,奈须蘑菇,杉山纪彰/下屋则子/神谷浩史/川澄绫子/植田佳奈/伊藤美纪/中田让治/津嘉山正种/真殿光昭/小山力也/神奈延年/关智一/浅川悠/三木真一郎/田中敦子/诹访部顺一/门胁舞以/稻田彻,动画/奇幻,日本,日语,2019-01-11,120分钟
