name,url,rate,box,director,writer,actor,genre,place,language,releasedate,movietime
红海行动,https://movie.douban.com/subject/26861685/,8.3,3647249999,林超贤,冯骥,张译/黄景瑜/海清/杜江/蒋璐霞/尹昉/王强/郭家豪/王雨甜/麦亨利/张涵予/王彦霖,动作/战争,中国大陆/香港,汉语普通话/阿拉伯语/英语/索马里语/粤语,2018-02-16,138分钟
唐人街探案2,https://movie.douban.com/subject/26698897/,6.7,3396540000,陈思诚,陈思诚,王宝强/刘昊然/肖央/刘承羽/尚语贤/王迅/妻夫木聪/迈克尔·皮特/白灵/元华/曾江/王成思/杨金赐/范湉湉/佟丽娅/陈思诚,喜剧/动作/悬疑/犯罪,中国大陆,汉语普通话,2018-02-16,121分钟
我不是药神,https://movie.douban.com/subject/26752088/,9.0,3096300000,文牧野,韩家女,徐峥/王传君/周一围/谭卓/章宇/杨新鸣/王佳佳/王砚辉/贾晨飞/龚蓓苾/宁浩/李乃文/岳小军/苇青/富冠铭/巴拉特·巴蒂/喜利图/张海艳/朱耕佑,剧情/喜剧,中国大陆,汉语普通话/英语/上海话/印地语,2018-07-05,117分钟
西虹市首富,https://movie.douban.com/subject/27605698/,6.5,2544410000,闫非,闫非,沈腾/宋芸桦/张一鸣/张晨光/常远/魏翔/赵自强/九孔/李立群/王成思/徐冬冬/艾伦/杨皓宇/黄才伦/王力宏/包贝尔/郎咸平/张绍刚/杨文哲/陶亮/王赞/黄杨/刘鉴/杨沅翰/林炳宝/骆佳/陈昊明/臧一人,喜剧,中国大陆,汉语普通话,2018-07-27,118分钟
复仇者联盟3：无限战争,https://movie.douban.com/subject/24773958/,8.1,2390300000,安东尼·罗素,杰克·科比,小罗伯特·唐尼/克里斯·海姆斯沃斯/克里斯·埃文斯/马克·鲁弗洛/乔什·布洛林/佐伊·索尔达娜/本尼迪克特·康伯巴奇/克里斯·帕拉特/汤姆·赫兰德/伊丽莎白·奥尔森/保罗·贝坦尼/斯嘉丽·约翰逊/查德维克·博斯曼/塞巴斯蒂安·斯坦/唐·钱德尔/汤姆·希德勒斯顿/安东尼·麦凯/黄凯旋/戴夫·巴蒂斯塔/布莱德利·库珀/范·迪塞尔/凯伦·吉兰/利蒂希娅·赖特/庞·克莱门捷夫/凯莉·库恩/汤姆-沃恩-劳勒/海登·瓦尔希/迈克尔·詹姆斯·肖/泰瑞·诺塔里/本尼西奥·德尔·托罗/彼特·丁拉基/罗斯·马昆德/丹娜·奎里拉/温斯顿·杜克/弗洛伦丝·卡松巴/塞缪尔·杰克逊/雅各布·巴特朗/斯坦·李,动作/科幻/奇幻/冒险,美国,英语,2018-05-11,150分钟
捉妖记2,https://movie.douban.com/subject/26575103/,5.0,2234150000,许诚毅,吴炜伦,梁朝伟/白百何/井柏然/李宇春/杨祐宁/大鹏/吴君如/曾志伟/黄磊/柳岩/吴莫愁/伍嘉成/赵磊/谷嘉诚/彭楚粤/陈泽希/郭子凡/肖战/焉栩嘉/夏之光/姜超/娄艺潇/张俪,喜剧/奇幻,中国大陆/香港,汉语普通话,2018-02-16,110分钟
海王,https://movie.douban.com/subject/3878007/,7.7,1998389999,温子仁,大卫·莱斯利·约翰逊-麦戈德里克,杰森·莫玛/艾梅柏·希尔德/威廉·达福/帕特里克·威尔森/妮可·基德曼/杜夫·龙格尔/叶海亚·阿卜杜勒-迈丁/特穆拉·莫里森/林路迪/迈克尔·比奇/兰道尔·朴/格拉汉姆·麦克泰维什/雷·沃纳尔/泰努伊·柯克伍德/塔穆尔·柯克伍德/丹泽尔·夸克/卡恩·古尔杜尔/奥蒂斯·丹吉/克考亚·克库毛诺/朱莉·安德鲁斯/约翰·瑞斯-戴维斯/杰曼·翰苏/索菲亚·福雷斯特/娜塔莉亚姗福瑞/杰克·安德鲁/汉克·阿莫斯/帕特里克·考克斯/罗伯特·朗斯特里特/德维卡·帕利赫/梅布尔·塔莫内/文森特·B·拉戈斯/加布里埃拉·佩特科娃/爱丽丝·兰斯伯里/帕特里克·艾奇逊/约翰·盖蒂尔/塔丽亚·杰德·霍尔特/罗斯·克纳汉/布拉登·刘易斯/萨尔瓦多·梅伦达/山姆·莫纳汉/温妮·穆赞贝/凯·潘塔诺/安娜·帕奇/乔恩·奎斯蒂德/迪伦·斯图默/米奇·武尔夫,动作/奇幻/冒险,美国/澳大利亚,英语/毛利语/意大利语/俄语,2018-12-07,143分钟
毒液：致命守护者,https://movie.douban.com/subject/3168101/,7.2,1869010000,鲁本·弗雷斯彻,杰夫·皮克纳,汤姆·哈迪/米歇尔·威廉姆斯/里兹·阿迈德/斯科特·黑兹/瑞德·斯科特/珍妮·斯蕾特/梅洛拉·沃尔特斯/伍迪·哈里森/佩吉·陆/马尔科姆·C·默里/索佩·阿卢科/韦恩·佩雷/米歇尔·李/库尔特·岳/克里斯·奥哈拉/埃米里奥·瑞弗拉/阿里亚当娜·约瑟夫/袁之正/朴云龙/麦克·勃兰特/尼克·图恩/山姆·麦地那/迪塞尔·马德金斯/简·麦克尼尔/维克托·麦凯/马丁·巴特斯·布拉德福德/布兰顿·莫拉莱斯/马修·康威尔/斯坦·李/韦德·威廉姆斯/约瑟夫·阿梅/威廉·W·巴伯/玛塞拉·布拉吉奥/卡特·伯奇/克里斯蒂安·康佛瑞/詹姆斯·富尔特斯/丹妮拉·加斯基/约翰·盖蒂尔/艾米丽塔·T·冈萨雷斯/杰克·汉森/安东尼·B·哈里斯/卡茜·亨德利/罗恩·彼得·琼斯/霍梅洛·洛佩兹/万恩·姆约维奇,动作/科幻/惊悚,美国/中国大陆,英语/汉语普通话,2018-11-09,112分钟
侏罗纪世界2,https://movie.douban.com/subject/26416062/,6.7,1695470000,胡安·安东尼奥·巴亚纳,科林·特雷沃罗,克里斯·帕拉特/布莱丝·达拉斯·霍华德/贾斯蒂斯·史密斯/伊莎贝拉·瑟蒙/拉菲·斯波/托比·琼斯/泰德·拉文/詹姆斯·克伦威尔/黄荣亮/丹妮艾拉·皮内达/杰拉丁·卓别林/杰夫·高布伦/卡米尔·雷米泽斯基/丹尼尔·斯蒂森/皮特·杰森/迈克尔·帕帕约翰/罗伯特·埃姆斯/罗南·萨莫尔斯/麦克斯·贝克/丹尼尔·厄根/戴维·奥拉瓦莱·阿印德,动作/科幻/冒险,美国/西班牙,英语,2018-06-15,128分钟
头号玩家,https://movie.douban.com/subject/4920389/,8.7,1394280000,史蒂文·斯皮尔伯格,扎克·佩恩,泰伊·谢里丹/奥利维亚·库克/本·门德尔森/马克·里朗斯/丽娜·维特/森崎温/赵家正/西蒙·佩吉/T·J·米勒/汉娜·乔恩-卡门/拉尔夫·尹爱森/苏珊·林奇/克莱尔·希金斯/劳伦斯·斯佩尔曼/佩蒂塔·维克斯/艾萨克·安德鲁斯,动作/科幻/冒险,美国,英语/日语/汉语普通话,2018-03-30,140分钟
