name,url,rate,box,director,writer,actor,genre,place,language,releasedate,movietime
犀利人妻 犀利人妻最終回：幸福男·不難,https://movie.douban.com/subject/10461368/,5.5,2350000,王珮华,杨海薇,隋棠/温升豪/王宥胜/小小彬/蔡淑臻/朱芯仪/马念先/唐绮阳,爱情,台湾,汉语普通话,2012-12-31(中国大陆),109分钟
玩命时光,https://movie.douban.com/subject/4942768/,3.3,2400000,曲瓅男,曲瓅男,秦昊/徐娇/秦子越/梁家仁/苑琼丹/罗家英,惊悚/奇幻,中国大陆,汉语普通话,2012-12-31(中国大陆),98分钟
重返大海,https://movie.douban.com/subject/10460130/,5.2,3090000,陆强,姚晓明,孟非/李俊宇/林颖/梁爽/连莲/张沈平/王沛/王凯,动画/家庭/冒险,中国大陆/美国/加拿大,英语/汉语普通话,2012-12-30(中国大陆),97分钟
艺术家 The Artist,https://movie.douban.com/subject/6097775/,8.4,1540000,米歇尔·阿扎纳维西于斯,米歇尔·阿扎纳维西于斯,让·杜雅尔丹/贝热尼丝·贝乔/约翰·古德曼/詹姆斯·克伦威尔/比茜·图诺克/佩内洛普·安·米勒/马尔科姆·麦克道威尔/小狗乌吉,剧情/喜剧/爱情,法国/比利时/美国,英语/法语,2012-12-28(中国大陆),100分钟
地下室惊魂,https://movie.douban.com/subject/11500880/,3.3,6950000,梁杰,周浩晖,余少群/何杜娟/周子扬/马敬涵/黄一山,剧情/悬疑/惊悚/恐怖,中国大陆,汉语普通话,2012-12-28(中国大陆),91分钟
秘密花园,https://movie.douban.com/subject/10827151/,5.2,2620000,唐丹,,钟汉良/谭维维/安七炫/左岩,喜剧/爱情/奇幻,中国大陆,汉语普通话,2012-12-28(中国大陆),85分钟
金箍棒传奇,https://movie.douban.com/subject/20411172/,4.9,10260000,哈磊,王冰,韩雪/吴天昊/于立/榕榕/童自荣/周野芒,喜剧/动画/冒险,中国大陆,汉语普通话,2012-12-29(中国大陆),88分钟
凶间雪山,https://movie.douban.com/subject/10478207/,3.7,5160000,周耀武,周耀武,吴卓羲/邓丽欣/邓紫衣/唐宸禹/孙祖扬,惊悚/恐怖,中国大陆,汉语普通话,2012-12-21(中国大陆),88分钟
大上海,https://movie.douban.com/subject/10540066/,6.6,145610000,王晶,文隽,周润发/黄晓明/洪金宝/吴镇宇/袁泉/袁立/莫小棋/童菲/高虎/辛柏青/戚迹/冯文娟,剧情/动作,中国大陆/香港,汉语普通话/粤语,2012-12-21(中国大陆),117分钟
血滴子,https://movie.douban.com/subject/2994851/,4.6,69850000,刘伟强,林爱华,黄晓明/阮经天/李宇春/余文乐/井柏然/周一围/蒲巴甲/高天/文章/刘伟强/李梦/王羽/金士杰,动作/武侠/古装,中国大陆/香港,汉语普通话,2012-12-20(中国大陆),112分钟
十二生肖,https://movie.douban.com/subject/4212172/,6.6,863749999,成龙,成龙,成龙/权相宇/廖凡/姚星彤/张蓝心/白露娜/刘承俊/吴彦祖/舒淇/李宗盛/陈柏霖/卢惠光/浅野长英/白冰/林鹏,喜剧/动作/冒险,中国大陆/香港,英语/汉语普通话/粤语/法语/西班牙语,2012-12-20(中国大陆/香港),122分钟
异度迷局,https://movie.douban.com/subject/20366391/,2.4,1500000,徐杰,朱明博,温兆伦/杨斯/贺刚/郑佩佩,悬疑/惊悚,中国大陆,汉语普通话,2012-12-14(中国大陆),96分钟
