name,url,rate,box,director,writer,actor,genre,place,language,releasedate,movietime
战狼2,https://movie.douban.com/subject/26363254/,7.1,5676470000,吴京,吴京,吴京/弗兰克·格里罗/吴刚/张翰/卢靖姗/丁海峰/淳于珊珊/余男/于谦/石兆琪/海蒂·莫尼梅克/奥列格·普鲁迪乌斯/艾伦·托尼/赛尔·哈里斯/高明/王森/苇青/程愫/张永达/郭秋成/杜建桥/周冠廷/安·詹姆斯/黛安娜·希拉/孙率航/张馨月/关海龙/安妮塔·斯图尔特/特雷弗·琼斯/奥斯汀·普里斯特/克莱·方特诺特/保罗·艾力卡/丹尼尔·哈格里夫/李镇男/庄小龙/陈云志/肯尼迪,动作,中国大陆,汉语普通话/英语,2017-07-27,123分钟
速度与激情8,https://movie.douban.com/subject/26260853/,7.0,2670780000,F·加里·格雷,克里斯·摩根,范·迪塞尔/道恩·强森/查理兹·塞隆/杰森·斯坦森/米歇尔·罗德里格兹/泰瑞斯·吉布森/卢达克里斯/库尔特·拉塞尔/娜塔莉·伊曼纽尔/卢克·伊万斯/埃尔莎·帕塔奇/克里斯托弗·海维尤/斯科特·伊斯特伍德/帕特里克·圣埃斯普利特,动作/犯罪,美国,英语,2017-04-14,136分钟
羞羞的铁拳,https://movie.douban.com/subject/27038183/,6.9,2200320000,宋阳,张吃鱼,艾伦/马丽/沈腾/田雨/宋阳/薛皓文/常远/黄才伦/王智,喜剧/奇幻,中国大陆,汉语普通话,2017-09-30,100分钟
前任3：再见前任,https://movie.douban.com/subject/26662193/,5.5,1940309999,田羽生,田羽生,韩庚/郑恺/于文文/曾梦雪/罗米,喜剧/爱情,中国大陆,汉语普通话,2017-12-29,120分钟
功夫瑜伽,https://movie.douban.com/subject/26182910/,5.0,1753310000,唐季礼,唐季礼,成龙/李治廷/张艺兴/索努·苏德/母其弥雅/迪莎·帕塔尼/艾米拉·达斯特/尚语贤/姜雯/张国立,喜剧/动作/冒险,中国大陆/印度,汉语普通话/英语/印地语/阿拉伯语,2017-01-28,108分钟
西游伏妖篇,https://movie.douban.com/subject/25801066/,5.5,1656280000,徐克,周星驰,吴亦凡/林更新/姚晨/林允/包贝尔/巴特尔/杨一威/大鹏/王丽坤/汪铎/张美娥,喜剧/动作/奇幻/古装,中国大陆/香港,汉语普通话,2017-01-28,108分钟
变形金刚5：最后的骑士,https://movie.douban.com/subject/25824686/,4.9,1551240000,迈克尔·贝,阿特·马库姆,马克·沃尔伯格/伊莎贝拉·莫奈/劳拉·哈德克/安东尼·霍普金斯/乔什·杜哈明/彼特·库伦/约翰·古德曼/斯坦利·图齐/桑地亚哥·卡布瑞拉/吉尔·伯明翰/渡边谦/约翰·迪·玛吉欧/弗兰克·维尔克/米彻·佩勒吉,动作/科幻,美国,英语,2017-06-23,155分钟
芳华,https://movie.douban.com/subject/26862829/,7.6,1422340000,冯小刚,严歌苓,黄轩/苗苗/钟楚曦/杨采钰/李晓峰/王天辰/王可如/隋源/张仁博/苏岩/张国立/赵立新,剧情/历史/战争,中国大陆,汉语普通话,2017-12-15,136分钟
摔跤吧！爸爸,https://movie.douban.com/subject/26387939/,9.0,1299070000,涅提·蒂瓦里,比于什·古普塔,阿米尔·汗/法缇玛·萨那·纱卡/桑亚·玛荷塔/阿帕尔夏克提·库拉那/沙克希·坦沃/塞伊拉·沃西/苏哈妮·巴特纳格尔/里特维克·萨霍里/吉里什·库卡尼,剧情/家庭/传记/运动,印度,印地语,2017-05-05,161分钟
寻梦环游记,https://movie.douban.com/subject/20495023/,9.0,1211620000,李·昂克里奇,阿德里安·莫利纳,安东尼·冈萨雷斯/盖尔·加西亚·贝纳尔/本杰明·布拉特/阿兰纳·乌巴奇/芮妮·维克托/杰米·卡米尔/阿方索·阿雷奥/赫伯特·西古恩萨/加布里埃尔·伊格莱西亚斯/隆巴多·博伊尔/安娜·奥菲丽亚·莫吉亚/娜塔丽·科尔多瓦/赛琳娜·露娜/爱德华·詹姆斯·奥莫斯/索菲亚·伊斯皮诺萨/卡拉·梅迪纳/黛娅娜·欧特里/路易斯·瓦尔德斯/布兰卡·阿拉切利/萨尔瓦多·雷耶斯/切奇·马林/奥克塔维·索利斯/约翰·拉岑贝格,喜剧/动画/音乐/奇幻,美国,英语/西班牙语,2017-11-24,105分钟
