name,url,rate,box,director,writer,actor,genre,place,language,releasedate,movietime
智取威虎山,https://movie.douban.com/subject/10343115/,3.3,500000,陈志宏,,李扬,动画/历史,中国大陆,汉语普通话,2011-12-30(中国大陆),85分钟
极速先锋,https://movie.douban.com/subject/6863979/,2.6,450000,蓝志伟,郭爽,邱胜翊/林爽/三浦贵大/马羚/刘惠/吴毅将/李广博/包贝尔/邓天晴,剧情/动作/爱情,中国大陆/日本,汉语普通话,2011-12-23(中国大陆),90分钟
新月魅影,https://movie.douban.com/subject/7052403/,2.7,1200000,黄柏基,贺鑫,陈龙/黄俊淇/孙佺/杨旸/罗梓瑄/秦子涵/钟弦/张佳楠,悬疑/惊悚/恐怖,中国大陆,汉语普通话,2011-12-20(中国大陆),85分钟
双人床条约,https://movie.douban.com/subject/6849069/,5.2,1600000,吴卫东,吴卫东,耿乐/刘威葳/王豪/郑佩佩/谢园/李彧/常蓝天/张恩齐/瞿颖,喜剧/爱情,中国大陆,汉语普通话,2011-12-30(中国大陆),93分钟
2012来了,https://movie.douban.com/subject/6974521/,3.5,2210000,邢潇,邢潇,田中千绘/黄又南/黄小蕾/胡明/戎祥/李菁/李承炫,剧情/喜剧,中国大陆,汉语普通话,2011-12-31(中国大陆),100分钟
玩命狙击 มายเบสท์บอดี้การ์ด,https://movie.douban.com/subject/7056769/,3.2,7500000,郭桂成,殷慧君,余文乐/乌汶叻公主/查克利·彦纳姆/胡杰克/吴丽嫦,动作/犯罪,泰国,汉语普通话/粤语/泰语/英语,2011-12-30(中国大陆),90分钟
深度谜案 The Oxford Murders,https://movie.douban.com/subject/1950192/,6.7,18050000,阿莱克斯·德·拉·伊格莱西亚,阿莱克斯·德·拉·伊格莱西亚,伊莱贾·伍德/约翰·赫特/蕾欧诺·瓦特林/朱莉·考科斯/吉姆·卡特/亚力克斯·考克斯/伯恩·戈曼/多米尼克·皮侬/安娜·玛西/丹尼·萨帕尼/艾伦·戴维/TimWallers/JamesWeberBrown/IanEast/CharlotteAsprey,悬疑/惊悚/犯罪,西班牙/英国/法国,英语,2011-12-31(中国大陆),108分钟
梦宅诡影 Dream House,https://movie.douban.com/subject/3818565/,6.2,17450000,吉姆·谢里丹,David Lucas,丹尼尔·克雷格/蕾切尔·薇兹/娜奥米·沃茨/马尔顿·索克斯/泰勒·吉蕾/蕾切尔·福克斯/林恩·格里芬/简·亚历山大/莎拉·加顿,剧情/悬疑/惊悚,美国,英语,2011-12-29(中国大陆),92分钟
倾城之泪,https://movie.douban.com/subject/6738760/,4.9,42400000,黄真真,郑丹瑞,周冬雨/李治廷/任贤齐/梁咏琪/窦骁/陈乔恩,剧情/爱情,中国大陆,汉语普通话,2011-12-22(中国大陆),108分钟
极速天使,https://movie.douban.com/subject/5256418/,5.0,23900000,马楚成,马楚成,汤唯/刘若英/林志颖/韩在硕/张柏芝/姜武/田中千绘/郑佩佩/北村一辉/程伊/何炅,剧情/动作,中国大陆/香港,汉语普通话,2011-12-27(中国大陆),117分钟
