name,url,rate,box,director,writer,actor,genre,place,language,releasedate,movietime
速度与激情7,https://movie.douban.com/subject/23761370/,8.3,2424320000,温子仁,克里斯·摩根,范·迪塞尔/保罗·沃克/杰森·斯坦森/米歇尔·罗德里格兹/乔丹娜·布鲁斯特/泰瑞斯·吉布森/卢达克里斯/道恩·强森/卢卡斯·布莱克/库尔特·拉塞尔/娜塔莉·伊曼纽尔/埃尔莎·帕塔奇/盖尔·加朵/约翰·布罗特顿/卢克·伊万斯/托尼·贾/杰曼·翰苏/诺尔·古格雷米/阿里·扎勒/姜成镐/龙达·鲁西/伊吉·阿德利亚/乔恩·李·布罗迪,动作/惊悚/犯罪,美国/中国大陆/日本,英语,2015-04-12,137分钟
捉妖记,https://movie.douban.com/subject/25723907/,6.7,2382110000,许诚毅,袁锦麟,白百何/井柏然/姜武/金燕玲/钟汉良/曾志伟/吴君如/汤唯/姚晨/闫妮/保剑锋/王栎鑫/郭晓东/李菁菁/田雨橙/张悦轩,喜剧/奇幻/古装,中国大陆/香港,汉语普通话,2015-07-16,118分钟
寻龙诀,https://movie.douban.com/subject/3077412/,7.5,1681880000,乌尔善,张家鲁,陈坤/黄渤/舒淇/杨颖/夏雨/刘晓庆/颜卓灵/曹操/张东/黄西/僧格仁钦,剧情/动作/奇幻/冒险,中国大陆/香港,汉语普通话/英语/蒙古语/日语,2015-12-18,125分钟
港囧,https://movie.douban.com/subject/25710912/,5.6,1611630000,徐峥,束焕,徐峥/赵薇/包贝尔/杜鹃/葛民辉/李灿森/潘虹/赵有亮/朱媛媛/王迅/冯勉恒/王晶/叶竞生/林晓峰/车保罗/苑琼丹/林雪/江约诚/郑丹瑞/田启文/吴耀汉/林路迪/詹瑞文/庄思敏/陶虹,喜剧,中国大陆,汉语普通话/粤语,2015-09-25,114分钟
复仇者联盟2：奥创纪元,https://movie.douban.com/subject/10741834/,7.3,1461830000,乔斯·韦登,乔斯·韦登,小罗伯特·唐尼/克里斯·海姆斯沃斯/马克·鲁弗洛/克里斯·埃文斯/斯嘉丽·约翰逊/杰瑞米·雷纳/詹姆斯·斯派德/塞缪尔·杰克逊/唐·钱德尔/亚伦·泰勒-约翰逊/伊丽莎白·奥尔森/保罗·贝坦尼/寇碧·史莫德斯/安东尼·麦凯/海莉·阿特维尔/伊德里斯·艾尔巴/斯特兰·斯卡斯加德/金秀贤/托马斯·克莱舒曼/安迪·瑟金斯/朱莉·德尔佩/斯坦·李/亨利·古德曼/多米尼克·普罗沃斯特-切克利/艾萨克·安德鲁斯,动作/科幻/奇幻/冒险,美国,英语/韩语,2015-05-12,142分钟
夏洛特烦恼,https://movie.douban.com/subject/25964071/,7.5,1441130000,闫非,闫非,沈腾/马丽/尹正/艾伦/王智/田雨/宋阳/常远/李萍/李立群/张一鸣/马小茜/赵震/董良瑜/刘坤/黄才伦/陈昊明/陆林洁/王成思/刘金/刘立东/杨欢/宁幻秋/温森/陶柏/许猛/嫣红/刘叶舟/王硕/马驰/周展翅/周华安/顾佳欣/易波/一戈/姜田丰/郭恩强/常世奎/于健/王琦/赵雪/陶亮/黄杨/陆羊/王军/刘子凡/刘笑竹/卢莹/张广洁/方菲菲/许登雨/朱波/肖扬/魏翔/江夏/吴江/张辰/王野/贾悦明/王翡/简姗姗/申琴子/尹星人/桂百惠/管亚鑫/彭泽言/王思浩/关鹏/桂琛/朱磊/徐贤任/田川/李哲,喜剧/爱情,中国大陆,汉语普通话,2015-09-30,104分钟
侏罗纪世界,https://movie.douban.com/subject/10440138/,7.7,1419700000,科林·特雷沃罗,里克·杰法,克里斯·帕拉特/布莱丝·达拉斯·霍华德/文森特·多诺费奥/泰·辛普金斯/尼克·罗宾森/奥玛·希/黄荣亮/伊尔凡·可汗/朱迪·格雷尔/杰克·约翰逊/劳伦·拉普库斯/凯蒂·麦克格雷斯/布莱恩·泰/埃迪·J.费尔南德斯/因德尔·库马尔/安迪·巴克利/吉米·法伦,动作/科幻/冒险,美国/中国大陆,英语,2015-06-10,124分钟
煎饼侠,https://movie.douban.com/subject/25895276/,5.8,1157070000,大鹏,大鹏,大鹏/袁姗姗/柳岩/吴君如/曾志伟/岳云鹏/衣云鹤/梁超/潘斌龙/崔志佳/乔杉/郭采洁/邓超/尚格·云顿/小沈阳/宋小宝/刘小光/王小利/陈思诚/林更新/陈羽凡/胡海泉/韩寒/陈赫/郑恺/包贝尔/郑伊健/陈小春/谢天华/林晓峰,喜剧,中国大陆,汉语普通话/英语/粤语,2015-07-17,113分钟
澳门风云2,https://movie.douban.com/subject/25858785/,5.5,973100000,王晶,王晶,周润发/张家辉/刘嘉玲/余文乐/王诗龄/胡然/姜大卫/童菲/吴樾/金巧巧/黄德斌/姜皓文/曾国祥/袁泉/曾志伟/陈百祥/孟瑶/刘德华,喜剧/动作,香港/中国大陆,粤语/汉语普通话/泰语/四川话/英语,2015-02-19,110分钟
西游记之大圣归来,https://movie.douban.com/subject/26277313/,8.3,948330000,田晓鹏,田晓鹏,张磊/林子杰/吴文伦/童自荣/刘九容/吴迪/刘北辰/赵乾景/周帅,喜剧/动作/动画/奇幻,中国大陆,汉语普通话/粤语,2015-07-10,89分钟
