name,url,rate,box,director,writer,actor,genre,place,language,releasedate,movietime
美人鱼,https://movie.douban.com/subject/19944106/,6.7,3390590000,周星驰,周星驰,邓超/罗志祥/张雨绮/林允/徐克/吴亦凡/李尚正/卢正雨/白客/孔连顺/田启文/文章/杨能/张美娥/李叶青/林子聪/赵志凌/郑冀峰/钱国伟/范淑珍/艾文·科蒂克/松冈李那/徐轸轸/夏尉喻/皮埃尔·布迪厄/孙嘉灵/许雅婷/赵靖伊/付骏福/虞嘉娜/宁小花/易志乐/孙乐天,喜剧/爱情/奇幻,中国大陆/香港,汉语普通话/英语/日语,2016-02-08,93分钟
疯狂动物城,https://movie.douban.com/subject/25662329/,9.2,1530160000,拜伦·霍华德,拜伦·霍华德,金妮弗·古德温/杰森·贝特曼/伊德里斯·艾尔巴/珍妮·斯蕾特/内特·托伦斯/邦尼·亨特/唐·雷克/汤米·钟/J·K·西蒙斯/奥克塔维亚·斯宾瑟/艾伦·图代克/夏奇拉/雷蒙德·S·佩尔西/德拉·萨巴/莫里斯·拉马奇/菲尔·约翰斯顿/约翰·迪·玛吉欧/凯蒂·洛斯/吉塔·雷迪/杰西·科尔蒂/汤米·利斯特/乔希·达拉斯/瑞奇·摩尔/凯斯·索西/彼得·曼斯布里奇/拜伦·霍华德/杰拉德·布什/马克·史密斯/乔西·特立尼达/约翰·拉维尔/克里斯汀·贝尔/吉尔·科德斯/梅利莎·古德温,喜剧/动画/冒险,美国,英语/挪威语,2016-03-04,109分钟
魔兽,https://movie.douban.com/subject/2131940/,7.7,1471940000,邓肯·琼斯,邓肯·琼斯,崔维斯·费米尔/托比·凯贝尔/宝拉·巴顿/吴彦祖/本·福斯特/多米尼克·库珀/鲁丝·内伽/克兰西·布朗/丹尼尔·库德摩尔/罗伯特·卡辛斯基/本·施耐泽/格伦·克洛斯/考乐姆·吉斯·雷尼/泰瑞·诺塔里/瑞安·罗宾斯/博尔克利·杜菲尔德/丹·佩恩/迪伦·肖明/唐尼·麦克尼尔/迈克·安东纳科斯/拉吉·拉尔,动作/奇幻/冒险,美国/中国大陆/加拿大/日本,英语,2016-06-08,124分钟
美国队长3,https://movie.douban.com/subject/25820460/,7.8,1246010000,安东尼·罗素,克里斯托弗·马库斯,克里斯·埃文斯/小罗伯特·唐尼/斯嘉丽·约翰逊/塞巴斯蒂安·斯坦/安东尼·麦凯/唐·钱德尔/杰瑞米·雷纳/查德维克·博斯曼/保罗·贝坦尼/伊丽莎白·奥尔森/保罗·路德/艾米丽·万凯普/汤姆·赫兰德/丹尼尔·布鲁尔/弗兰克·格里罗/威廉·赫特/马丁·弗瑞曼/霍普·戴维斯/玛丽莎·托梅/吉姆·拉什/金世佳,动作/科幻/冒险,美国,科萨语/英语/德语/俄语/罗马尼亚语,2016-05-06,148分钟
西游记之孙悟空三打白骨精,https://movie.douban.com/subject/25827963/,5.6,1200730000,郑保瑞,冉平,郭富城/巩俐/冯绍峰/小沈阳/罗仲谦/费翔/陈慧琳/阿旺仁青/彭宇/程东/刘楚恬/余辛/魏璐/齐浠儿/母其弥雅/张籽沐,喜剧/动作/奇幻,中国大陆/香港,汉语普通话,2016-02-08,120分钟
湄公河行动,https://movie.douban.com/subject/25815034/,8.0,1183730000,林超贤,林超贤,张涵予/彭于晏/孙淳/陈宝国/冯文娟/刘显达/赵健/吴旭东/吴嘉龙/卢惠光/柏华力·莫高彼斯彻/维他亚·潘斯林加姆/战立国/石占杰/伍麟凯/Zobra/魏蔓/李佳璇/郝文婷/王笑龙/任蕊/BhubhingBhangsa-Ard/AchayaVishwanathGovind/NitidetCheryJunphli/KeeraliSivakuae/AlyaretJunamnoong/VattcharachaiSunthomsin/SarawutKumsorn/NongmalBunchu/SubashA/LSundaramoorthy/Itthiphon/SamritWarin/纳卡琳·加汉/钟建龙/张敏嘉/陈沛兴/林美芬/詹姆斯·阿媞邦德/Amigo,动作/犯罪,中国大陆/香港,汉语普通话/粤语/泰语/缅甸语/英语,2016-09-30,124分钟
长城,https://movie.douban.com/subject/6982558/,4.9,1174150000,张艺谋,马克斯·布鲁克斯,马特·达蒙/景甜/佩德罗·帕斯卡/刘德华/威廉·达福/张涵予/鹿晗/彭于晏/林更新/郑恺/黄轩/陈学冬/王俊凯/余心恬/刘冰/李亨/李京沐/纽曼·阿卡/约翰尼·希科/皮鲁·埃斯贝克,动作/奇幻/冒险,中国大陆/美国,英语/汉语普通话,2016-12-16,104分钟
澳门风云3,https://movie.douban.com/subject/26334559/,4.0,1117800000,王晶,王晶,周润发/刘德华/张家辉/张学友/余文乐/李宇春/刘嘉玲/王诗龄/向佐/胡然/元秋/朴载相/童菲/罗家英/卢海鹏,喜剧/动作,香港/中国大陆,汉语普通话/粤语,2016-02-08,112分钟
盗墓笔记,https://movie.douban.com/subject/24827387/,4.7,1003830000,李仁港,南派三叔,井柏然/鹿晗/马思纯/王景春/张博宇/涂圣成/敖嘉年/姜皓文/刘蔚森,悬疑/奇幻/冒险,中国大陆,汉语普通话,2016-08-05,123分钟
功夫熊猫3,https://movie.douban.com/subject/11589036/,7.6,1000690000,吕寅荣,乔纳森·阿贝尔,杰克·布莱克/布莱恩·科兰斯顿/达斯汀·霍夫曼/安吉丽娜·朱莉/J·K·西蒙斯/成龙/塞斯·罗根/刘玉玲/大卫·克罗斯/凯特·哈德森/吴汉章/兰德尔·杜克·金/尚格·云顿/斯蒂尔·加尼翁/利亚姆·奈特/韦恩·奈特/芭芭拉·迪里克森/阿尔·罗克/威利·盖斯特/弗雷德·塔特西奥/迈克·米切尔/凯莉·库尼/斯蒂芬·凯林/米克·温格特/蔡明昊/艾普尔·洪/帕克斯·朱莉-皮特/诺克斯·朱莉-皮特/扎哈拉·朱莉-皮特/希洛·朱莉-皮特,喜剧/动作/动画/冒险,美国/中国大陆,英语,2016-01-29,95分钟
