name,url,rate,box,director,writer,actor,genre,place,language,releasedate,movietime
熊猫回家路,https://movie.douban.com/subject/3114111/,6.8,9600000,俞钟,Jean Chalopin,原岛大地/张琪/冯璤,家庭,中国大陆,汉语普通话,2009-05-08(中国大陆),87分钟
麦田,https://movie.douban.com/subject/3582229/,5.0,9500000,何平,何平,范冰冰/黄觉/杜家毅/王学圻/王志文/王姬/李歌,剧情/动作/历史,中国大陆,汉语普通话,2009-09-28(中国大陆),108分钟
火星没事,https://movie.douban.com/subject/3892235/,4.9,9350000,刘仪伟,刘仪伟,黄磊/谢娜/孙天宇/关悦/王晶/徐峥/刘仪伟/佟大为/何炅/柯蓝/郭德纲,喜剧/儿童,中国,汉语普通话,2009-11-20,93分钟
拉贝日记 John Rabe,https://movie.douban.com/subject/2294565/,7.2,9300000,佛罗瑞·加仑伯格,佛罗瑞·加仑伯格,乌尔里希·图库尔/丹尼尔·布鲁尔/史蒂夫·布西密/张静初/香川照之/安妮·康斯金尼/达格玛·曼泽尔/MathiasHerrmann/杉本哲太/柄本明/井浦新/肖恩·劳顿/ChristianRodska/高夫莱德·约翰,剧情/传记/历史/战争,法国/中国大陆/德国,粤语/汉语普通话/德语/日语/英语,2009-04-29(中国大陆),134分钟
红河,https://movie.douban.com/subject/3111650/,7.1,8400000,章家瑞,孟家宗,张静初/张家辉/李丽珍/李修贤,剧情/爱情,中国大陆,汉语普通话/越南语,2009-04-10(中国大陆),103分钟
马兰花,https://movie.douban.com/subject/3742094/,4.9,8000000,姚光华,,林志玲/陈好/黎明/姚明/周立波,剧情/动画,中国大陆,汉语普通话,2009-06-19,99分钟
恋爱前规则,https://movie.douban.com/subject/3815920/,5.1,7300000,蒋钦民,蒋钦民,陈柏霖/王珞丹/周奇奇/郭家铭/连晋/林秀玲/丁海峰/邹俊百,剧情/喜剧/爱情,中国大陆,汉语普通话,2009-11-03,90分钟
狗狗与我的十个约定 犬と私の10の約束,https://movie.douban.com/subject/2976111/,8.1,7200000,本木克英,泽本嘉光,田中丽奈/加濑亮/福田麻由子/丰川悦司/高岛礼子,剧情/喜剧/爱情,日本,日语,2009-01-26(中国大陆),117分钟
仙境之桥 Bridge to Terabithia,https://movie.douban.com/subject/1860745/,7.8,6300000,嘉柏·丘波,Jeff Stockwell,乔什·哈切森/安娜索菲亚·罗伯/佐伊·丹斯切尔/罗伯特·帕特里克/拜莉·麦迪逊/KateButler/DevonWood/EmmaFenton/GraceBrannigan/LathamGaines/JudyMcIntosh/帕特里夏·奥尔德斯利/LaurenClinton/IsabelleRoseKircher/CameronWakefield,剧情/奇幻/冒险,美国,英语,2009-01-26(中国大陆),96分钟
完美新娘,https://movie.douban.com/subject/3406771/,5.7,6200000,阿猛,阿猛,郭柯宇/大鹏/章贺,,中国,汉语普通话,2009-06-12,
机动部队—同袍,https://movie.douban.com/subject/3391271/,6.4,6100000,罗永昌,游乃海,任达华/邵美琪/林雪/彭敬慈/黄智贤/阮民安/施祖男,剧情/动作/犯罪,香港,粤语,2009-01-08,91分钟
哆啦A梦：大雄与绿巨人传 映画ドラえもん のび太と緑の巨人伝,https://movie.douban.com/subject/2977870/,7.3,5900000,渡边步,大野木宽,水田山葵/堀北真希/三宅裕司/有田哲平/木村昂,动画,日本,日语,2009-08-04(中国大陆),112分钟
惊天动地,https://movie.douban.com/subject/3987383/,5.8,5800000,王珈,柳建伟,侯勇/李幼斌/童蕾/岳红/巫刚/肖雄/宋春丽/王嘉/徐箭/郭晓东,剧情,中国大陆,汉语普通话/中文,2009-09-24(中国大陆),101分钟
爱有来生,https://movie.douban.com/subject/3155477/,7.6,4900000,俞飞鸿,俞飞鸿,俞飞鸿/段奕宏/李佳/姚橹/涂松岩,剧情/爱情,中国大陆,汉语普通话,2009-09-03(中国大陆),96分钟
秋喜,https://movie.douban.com/subject/3737117/,5.8,4600000,孙周,王力夫,郭晓东/孙淳/江一燕/秦海璐/王雅捷/孙敏,剧情/悬疑/惊悚,中国大陆,汉语普通话,2009-10-14(中国大陆),102分钟
齐天大圣前传,https://movie.douban.com/subject/4022010/,2.3,4500000,梁汉森,梁汉森,何炅/张一山/王翰涛/李扬/鲁诺/谢娜,剧情/喜剧/奇幻/冒险,中国大陆,汉语普通话,2009-09-29,
