name,url,rate,box,director,writer,actor,genre,place,language,releasedate,movietime
海底大冒险,https://movie.douban.com/subject/10464961/,4.9,16350000,马可·A·Z·迪普,克里斯·登克,德雷克·贝尔/安迪·迪克/法兰·德瑞雪/弗兰基·乔纳斯/杰米·肯尼迪/唐纳尔·罗格/杰克·马林斯/贝茜·菲利普斯/罗伯·施奈德/斯蒂芬·斯坦顿/马修·维利希,喜剧/动画/家庭/冒险,韩国/美国,英语,2013-12-29(中国大陆),81分钟(中国大陆)
史前怪兽,https://movie.douban.com/subject/10756744/,3.0,33970000,埃里克·斯泰尔斯,安迪·布里格斯,杜夫·龙格尔/斯科特·阿金斯/黄奕/李承炫/耿乐/詹姆斯·兰斯/莉迪亚·伦纳德/汤姆·奥斯汀,动作/惊悚/冒险,英国/中国大陆,英语,2014-01-01(中国大陆),89分钟(中国大陆)
等风来,https://movie.douban.com/subject/10833923/,5.6,74980000,滕华涛,鲍鲸鲸,倪妮/井柏然/刘雅瑟/张子萱/刘孜/陈卫/格桑/杨凯淳/侯传杲/何佳怡,喜剧/爱情,中国大陆,汉语普通话,2013-12-31(中国大陆),107分钟
云图,https://movie.douban.com/subject/3530403/,8.0,164730000,汤姆·提克威,汤姆·提克威,汤姆·汉克斯/哈莉·贝瑞/吉姆·布劳德本特/雨果·维文/吉姆·斯特吉斯/裴斗娜/本·卫肖/詹姆斯·达西/周迅/凯斯·大卫/大卫·吉雅西/苏珊·萨兰登/休·格兰特,剧情/科幻/悬疑,德国/美国/香港/中国大陆/新加坡,英语/西班牙语,2013-01-31(中国大陆),134分钟(中国大陆)
一夜惊喜,https://movie.douban.com/subject/16475702/,5.4,166520000,金依萌,金依萌,范冰冰/李治廷/吴佩慈/蒋劲夫/丹尼尔·海尼/刘维/倪虹洁/黎明/徐峥/黄一飞/钟丽缇,喜剧/爱情,中国大陆/香港,汉语普通话/英语,2013-08-09(中国大陆),106分钟
饥饿游戏2：星火燎原,https://movie.douban.com/subject/6874456/,7.3,171030000,弗朗西斯·劳伦斯,西蒙·博福伊,詹妮弗·劳伦斯/乔什·哈切森/利亚姆·海姆斯沃斯/伍迪·哈里森/伊丽莎白·班克斯/唐纳德·萨瑟兰/菲利普·塞默·霍夫曼/山姆·克拉弗林/吉娜·马隆/斯坦利·图齐/托比·琼斯/林恩·科恩/薇洛·西尔德斯/蓝尼·克罗维兹/阿兰·里奇森/斯蒂芬妮·利·施朗德/杰弗里·怀特/阿曼达·普拉莫/布鲁诺·冈恩,动作/科幻/冒险,美国,英语,2013-11-21(中国大陆),146分钟
四大名捕2,https://movie.douban.com/subject/10604892/,4.9,172520000,陈嘉上,陈嘉上,邓超/刘亦菲/邹兆龙/郑中基/黄秋生/江一燕/成泰燊/柳岩/吴秀波/邓萃雯/于承惠/包贝尔/向恬冉/吴映洁/刘俊纬/李子雄/张兆辉/周海媚/卢惠光/苗驰/曹炳琨/高天/刘子威/蒋一帆/刘峰超/李紫菻/李欣烨/邱晔/李宛真/张煜雯,动作/悬疑/奇幻/武侠/古装,中国大陆/香港,汉语普通话,2013-12-06(中国大陆),118分钟
惊天危机,https://movie.douban.com/subject/10746175/,7.3,175820000,罗兰·艾默里奇,詹姆斯·范德比尔特,查宁·塔图姆/杰米·福克斯/玛吉·吉伦哈尔/杰森·克拉克/理查德·詹金斯/乔伊·金/詹姆斯·伍兹/尼古拉斯·莱特/吉米·辛普森/迈克尔·墨菲/蕾切尔·勒费夫尔/兰斯·莱迪克,动作/灾难,美国,英语,2013-07-22(中国大陆),132分钟(中国大陆)
全民目击,https://movie.douban.com/subject/11510624/,7.7,179150000,非行,非行,孙红雷/余男/郭富城/邓家佳/赵立新/佟丽娅/倪虹洁/陈思诚/周韦彤/廖晓琴/谭松韵/丁子烁,剧情/悬疑/犯罪,中国大陆,汉语普通话,2013-09-13(中国大陆),119分钟
分手合约,https://movie.douban.com/subject/19973815/,5.7,190040000,吴基焕,秦海燕,白百何/彭于晏/吴佩慈/蒋劲夫,爱情,中国大陆/韩国,汉语普通话,2013-04-12(中国大陆),103分钟
