name,url,rate,box,director,writer,actor,genre,place,language,releasedate,movietime
绑架冰激凌,https://movie.douban.com/subject/5282464/,4.9,2550000,古宇,查慕春,巫刚/杜汶泽/孙兴/赵美彤/瞿颖/叶一茜/李菲儿/刘磊/苏青/王文林/林苑,喜剧,中国大陆,汉语普通话,2010-12-31,90分钟
前度,https://movie.douban.com/subject/4709904/,7.0,2550000,麦曦茵,麦曦茵,陈伟霆/钟欣潼/卫诗雅/曾国祥/周俊伟/向佐/杜汶泽,爱情,香港,粤语,2010-12-30(中国大陆),95分钟(香港)
恋人絮语 戀人絮語,https://movie.douban.com/subject/4043763/,6.0,2550000,曾国祥,曾国祥,陈奕迅/范晓萱/林嘉欣/谢安琪/彭于晏/陈伟霆/陈洁仪/向佐/陈家乐/曾志伟,剧情/爱情,香港,粤语,2010-12-31(中国大陆),118分钟
一路有你,https://movie.douban.com/subject/3574559/,6.0,6800000,赵崇基,陈建忠,古天乐/莫文蔚/黄奕/印小天/陈西贝/梁大维/黎耀祥,剧情/爱情,香港/中国,汉语普通话/粤语,2010-12-31,108分钟
午夜心跳,https://movie.douban.com/subject/4894074/,3.3,31250000,张加贝,赵犇,任达华/吴镇宇/姚笛/杨渝渝/李念/刘雨鑫/巴多/杨舒婷,恐怖,中国大陆,汉语普通话,2010-12-24(中国大陆),89分钟
火线特攻 Righteous Kill,https://movie.douban.com/subject/2124507/,6.6,7000000,乔恩·阿维奈,罗赛·格维茨,罗伯特·德尼罗/阿尔·帕西诺/50分/卡拉·古奇诺/约翰·雷吉扎莫/唐尼·沃尔伯格/布莱恩·丹内利/特里尔比·格洛弗,剧情/悬疑/犯罪,美国,英语/西班牙语,2010-11-30(中国大陆),101分钟
赵氏孤儿,https://movie.douban.com/subject/3546019/,5.9,196300000,陈凯歌,陈凯歌,葛优/王学圻/黄晓明/范冰冰/海清/赵文浩/王翰/赵文卓/鲍国安/张丰毅,剧情/动作/历史/武侠/古装,中国大陆,汉语普通话,2010-12-04(中国大陆),123分钟
大笑江湖,https://movie.douban.com/subject/4323732/,4.6,158950000,朱延平,宁财神,小沈阳/林熙蕾/赵本山/程野/陈志朋/徐少强/吴宗宪/曾志伟/梁家仁/恬妞/毕畅/翟星月/小小彬/黄一飞,动作/爱情/武侠/古装,中国大陆/台湾,汉语普通话,2010-12-03(中国大陆),93分钟
大玩家,https://movie.douban.com/subject/4960076/,4.6,7400000,牛朝阳,牛朝阳,钟欣潼/谢娜/孙兴/雪村/莫少聪/杨丽菁/姜宏波/梁天/傅艺伟/那威/赵燕国彰/方青卓/罗中旭/曹操/李修贤/焦恩俊/斯琴高娃/霍思燕,喜剧,中国大陆,汉语普通话,2010-11-25(中国大陆),95分钟
李小龙我的兄弟,https://movie.douban.com/subject/4915135/,6.3,13740000,文隽,文隽,李治廷/梁家辉/钟丽缇/谢婷婷/欧阳靖/张一山/贡米/叶璇/刘浩龙/孙德林/张兆辉/万梓良/杨恭如/钱嘉乐/张达明/陈奂仁,剧情/动作/爱情/传记,中国大陆/香港,汉语普通话/粤语,2010-11-25,129分钟
