name,movie_url,rate,rating_people,director,writer,actor,genre,place,language,year,movietime
排球少年剧场版：胜者与败者,https://movie.douban.com/subject/26348564/,8.5,393,满仲劝,岸本卓,村濑步/石川界人/日野聪/入野自由/林勇/细谷佳正/冈本信彦/内山昂辉/齐藤壮马/名塚佳织/浪川大辅/神谷浩史,动画/运动,日本,日语,2015,
第68届NHK红白歌会,https://movie.douban.com/subject/27198137/,8.4,1816,,,二宫和也/有村架纯/内村光良,音乐/歌舞,日本,日语,2017,270
柠檬水,https://movie.douban.com/subject/26779555/,8.4,1366,碧昂丝·诺尔斯/乔纳斯·阿克伦德/卡希尔·约瑟夫,华沙·希雷,碧昂丝·诺尔斯/杰斯/克洛伊·贝利/哈里·贝里/米凯拉·迪普利斯/马修·诺尔斯/蒂娜·诺尔斯/理查德·劳森/奎文赞妮·瓦利斯/塞蕾娜·威廉姆斯/赞达亚/阿曼德拉·斯坦伯格,音乐,美国,英语,2016,65
排球少年剧场版：结束与开始,https://movie.douban.com/subject/26310750/,8.4,484,满仲劝,岸本卓 Taku Kishimoto,村濑步/石川界人/林勇/细谷佳正/内山昂辉/入野自由/齐藤壮马/冈本信彦/日野聪,动画/运动,日本,日语,2015,
岸边露伴一动不动,https://movie.douban.com/subject/30156318/,8.3,279,加藤敏幸,,櫻井孝宏/种崎敦美/間島淳司,剧情/动画/惊悚,日本,日语,2018,
你和我,https://movie.douban.com/subject/5915752/,8.2,9682,窪田崇,窪田崇,中村蒼/坂本真綾,剧情,日本,日语,2011,45
啪嗒啪嗒,https://movie.douban.com/subject/10558447/,8.2,1089,LEE DAE HEE,LEE DAE HEE,无,动画,韩国,韩语,2012,78
母与子,https://movie.douban.com/subject/3008671/,8.1,2913,罗德里戈·加西亚,罗德里戈·加西亚,娜奥米·沃茨/安妮特·贝宁/EileenRyan/塞缪尔·杰克逊/切莉·琼斯/凯丽·华盛顿/AlexandriaM.Salling/ConnorKramme/大卫·摩斯,剧情,美国/西班牙,英语,2009,125
侠僧探案传奇之大夜叉,https://movie.douban.com/subject/26304163/,8.1,3052,海涛,郭子圣,韩朔/刘冠成/李美慧/张哲浩,动作/悬疑/武侠/古装,中国大陆,汉语普通话,2015,90
妖狐×仆SS,https://movie.douban.com/subject/11797272/,8.1,2450,津田尚克,藤原ここあ,日高里菜/中村悠一/细谷佳正/日笠阳子/杉田智和/花泽香菜/江口拓也/宫野真守/丰崎爱生/泽城美雪/小仓唯,剧情/喜剧/动画,日本,日语,2012,24
