name,movie_url,rate,rating_people,director,writer,actor,genre,place,language,year,movietime
致命魔术,https://movie.douban.com/subject/1780330/,8.8,460675,克里斯托弗·诺兰,乔纳森·诺兰,休·杰克曼/克里斯蒂安·贝尔/迈克尔·凯恩/丽贝卡·豪尔/斯嘉丽·约翰逊/大卫·鲍伊/安迪·瑟金斯/派珀·佩拉博/萨曼塔·马霍林/丹尼尔·戴维斯/吉姆·皮多克/克里斯托弗·尼姆/马克·瑞安/罗杰·里斯/杰米·哈里斯/罗恩·帕金斯/瑞奇·杰/安东尼·德·马克/冀朝理,剧情/悬疑/惊悚,美国/英国,英语,2006,130分钟
指环王1：魔戒再现,https://movie.douban.com/subject/1291571/,9.0,416517,彼得·杰克逊,弗兰·威尔士,伊莱贾·伍德/西恩·奥斯汀/伊恩·麦克莱恩/维果·莫腾森/奥兰多·布鲁姆/凯特·布兰切特/肖恩·宾/克里斯托弗·李/雨果·维文/丽芙·泰勒/安迪·瑟金斯/伊安·霍姆/多米尼克·莫纳汉/萨拉·贝克/约翰·瑞斯-戴维斯,剧情/动作/奇幻/冒险,新西兰/美国,英语/辛达林语,2001,178分钟
傲慢与偏见,https://movie.douban.com/subject/1418200/,8.5,394626,乔·赖特,简·奥斯汀,凯拉·奈特莉/马修·麦克费登/唐纳德·萨瑟兰/布兰达·布莱斯/凯瑞·穆里根/裴淳华/吉娜·马隆/妲露拉·莱莉/朱迪·丹奇/西蒙·伍兹/克劳迪·布莱克利/汤姆·霍兰德/鲁伯特·弗兰德/凯利·蕾莉/皮普·托伦斯/西妮德·马修斯/佩内洛普·威尔顿/塔姆金·莫钦特,剧情/爱情,法国/英国/美国,英语,2005,129分钟
哈利·波特与魔法石,https://movie.douban.com/subject/1295038/,8.9,413018,克里斯·哥伦布,史蒂夫·克洛夫斯,丹尼尔·雷德克里夫/艾玛·沃森/鲁伯特·格林特/艾伦·瑞克曼/玛吉·史密斯/汤姆·费尔顿/伊恩·哈特/理查德·哈里斯/约翰·赫特/罗彼·考特拉尼/朱丽·沃特斯/邦妮·怀特/约翰·克立斯/肖恩·比格斯代夫,奇幻/冒险,美国/英国,英语,2001,152分钟
断背山,https://movie.douban.com/subject/1418834/,8.7,417910,李安,拉里·麦克穆特瑞,希斯·莱杰/杰克·吉伦哈尔/米歇尔·威廉姆斯/安妮·海瑟薇/凯特·玛拉/兰迪·奎德/琳达·卡德里尼/安娜·法瑞丝/格拉汉姆·贝克尔/斯科特·迈克尔·坎贝尔/大卫·哈伯/罗伯塔·马克斯韦尔/皮特·麦克罗比/夏恩·希尔/布鲁克琳·普劳克斯/杰克·丘奇,剧情/爱情/同性/家庭,美国/加拿大,英语,2005,134分钟
秒速5厘米,https://movie.douban.com/subject/2043546/,8.3,382225,新海诚,新海诚,水桥研二/近藤好美/尾上绫华/花村怜美/水野理纱,剧情/爱情/动画,日本,日语,2007,63分钟
2012,https://movie.douban.com/subject/3005875/,7.8,363170,罗兰·艾默里奇,罗兰·艾默里奇,约翰·库萨克/切瓦特·埃加福特/阿曼达·皮特/坦迪·牛顿/丹尼·格洛弗/伍迪·哈里森/奥利弗·普莱特/连姆·詹姆斯/摩根·莉莉/毕崔斯·罗森/黄经汉/卢燕,动作/科幻/冒险/灾难,美国/加拿大,英语/法语/藏语/汉语普通话/俄语/印地语/葡萄牙语/拉丁语/意大利语,2009,158分钟
恐怖游轮,https://movie.douban.com/subject/3011051/,8.4,422286,克里斯托弗·史密斯,克里斯托弗·史密斯,梅利莎·乔治/利亚姆·海姆斯沃斯/迈克尔·多曼/瑞秋·卡帕尼/艾玛·朗/亨利·尼克松/约书亚·麦基弗,剧情/悬疑/惊悚,英国/澳大利亚,英语,2009,99分钟
指环王3：王者无敌,https://movie.douban.com/subject/1291552/,9.1,395822,彼得·杰克逊,弗兰·威尔士,维果·莫腾森/伊莱贾·伍德/西恩·奥斯汀/丽芙·泰勒/伊恩·麦克莱恩/奥兰多·布鲁姆/凯特·布兰切特/米兰达·奥图/安迪·瑟金斯/雨果·维文/多米尼克·莫纳汉/比利·博伊德/马尔顿·索克斯/卡尔·厄本/克里斯托弗·李/约翰·瑞斯-戴维斯,剧情/动作/奇幻/冒险,美国/新西兰,英语/昆雅语/古英语/辛达林语,2003,201分钟
功夫熊猫,https://movie.douban.com/subject/1783457/,8.0,378876,马克·奥斯本/约翰·斯蒂文森,乔纳森·阿贝尔,杰克·布莱克/达斯汀·霍夫曼/安吉丽娜·朱莉/伊恩·麦柯肖恩/成龙/塞斯·罗根/刘玉玲/大卫·克罗斯/兰德尔·杜克·金/吴汉章/丹·福勒/迈克·克拉克·邓肯/韦恩·奈特/凯尔·加斯/JR·里德/劳拉·奈特林格/坦雅·海登/斯蒂芬·凯林/马克·奥斯本/约翰·斯蒂文森/肯特·奥斯博内/瑞利·奥斯本,喜剧/动作/动画/冒险,美国,英语,2008,95分钟
