name,movie_url,rate,rating_people,director,writer,actor,genre,place,language,year,movietime,comment,review
龙猫,https://movie.douban.com/subject/1291560/,9.2,679275,宫崎骏,宫崎骏,日高法子/坂本千夏/糸井重里/岛本须美/北林谷荣/高木均/雨笠利幸/丸山裕子/广濑正志/鹫尾真知子/铃木玲子/千叶繁/龙田直树/鳕子/西村朋纮/石田光子/神代知衣/中村大树/水谷优子/平松晶子/大谷育江,动画/奇幻/冒险,日本,日语,1988,86分钟,(全部123733条),(全部1820条)
倩女幽魂,https://movie.douban.com/subject/1297447/,8.7,369815,程小东,阮继志,张国荣/王祖贤/午马/刘兆铭/林威/薛芷伦/胡大为/王晶,爱情/奇幻/武侠/古装,香港,粤语,1987,98分钟,(全部48945条),(全部501条)
天空之城,https://movie.douban.com/subject/1291583/,9.1,471808,宫崎骏,宫崎骏,田中真弓/横泽启子/初井言荣/寺田农/常田富士男/永井一郎/糸博/鹫尾真知子/神山卓三/安原义人/槐柳二/鳕子,动画/奇幻/冒险,日本,日语,1986,125分钟,(全部60121条),(全部867条)
天堂电影院,https://movie.douban.com/subject/1291828/,9.2,397628,朱塞佩·托纳多雷,朱塞佩·托纳多雷,安东内拉·阿蒂利/恩佐·卡拉瓦勒/艾萨·丹尼埃利/里奥·故罗塔/马克·莱昂纳蒂/普佩拉·玛奇奥/阿格妮丝·那诺/莱奥波多·特里耶斯泰/萨瓦特利·卡西欧/尼古拉·迪·平托/罗伯塔·蕾娜/尼诺·戴罗佐/雅克·贝汉/菲利普·努瓦雷/玛丽娜·朱迪切/比阿特丽斯·帕姆/罗斯科·阿巴克尔/茹涅·阿斯托尔/伊格纳齐奥·巴尔萨莫/碧姬·芭铎/约翰·巴里摩尔/伊萨·巴尔齐扎/英格丽·褒曼/维尔玛·班基/克拉拉·卡拉马伊/查理·卓别林/加里·库珀/奥利维娅·德哈维兰/维托里奥·德·西卡/柯克·道格拉斯/埃罗尔·弗林/布丽吉特·佛西/让·迦本/克拉克·盖博/葛丽泰·嘉宝/维托里奥·加斯曼/马西莫·吉洛蒂/法利·格兰杰/加里·格兰特/乔治亚·黑尔/劳伦斯·哈维/海伦·海丝/路易·茹韦/安娜·马尼亚尼/西尔瓦娜·曼加诺/马塞洛·马斯楚安尼/阿梅德奥·纳扎里/苏济·普里姆/唐娜·里德/简·拉塞尔/罗莎琳德·拉塞尔/伊冯娜·桑松/玛丽亚·雪儿/瑙玛·希拉/西蒙·西涅莱/阿尔贝托·索尔迪/詹姆斯·斯图尔特/朱塞佩·托纳多雷/托托/斯宾塞·屈塞/克莱尔·特雷弗/鲁道夫·瓦伦蒂诺/阿莉达·瓦利/约翰·韦恩,剧情/爱情,意大利/法国,意大利语,1988,155分钟,(全部71421条),(全部2271条)
死亡诗社,https://movie.douban.com/subject/1291548/,9.0,389940,彼得·威尔,汤姆·舒尔曼,罗宾·威廉姆斯/罗伯特·肖恩·莱纳德/伊桑·霍克/乔西·查尔斯/盖尔·汉森/迪伦·库斯曼/阿勒隆·鲁杰罗/詹姆斯·沃特斯顿/诺曼·劳埃德/柯特伍德·史密斯/卡拉·贝尔韦尔/利昂·波纳尔/乔治·马丁/乔·奥菲耶里/马特·凯里/凯文·库尼/拉腊·弗林·鲍尔/亚历桑德拉·鲍尔斯/梅洛拉·沃尔特斯/PamelaBurrell/约翰·库宁汉姆/迪布拉·穆尼/库尔特·莱特纳/凯瑟·斯内德/JonasStiklorius/杰米·肯尼迪,剧情,美国,英语/拉丁语,1989,128分钟,(全部83371条),(全部3207条)
末代皇帝,https://movie.douban.com/subject/1293172/,9.1,310714,贝纳尔多·贝托鲁奇,贝纳尔多·贝托鲁奇,尊龙/陈冲/邬君梅/彼得·奥图尔/英若诚/吴涛/黄自强/丹尼斯·邓恩/坂本龙一/马吉·汉/里克·扬/田川洋行/苟杰德/理查德·吴/皱缇格/陈凯歌/卢燕/区亨利/陈述/樊光耀/鲍皓昕/黄文捷/邵茹贞/亨利·基/张良斌/梁冬/康斯坦丁·格雷戈里/黄汉琪/王涛/宋怀桂/蔡鸿翔/程淑艳/张天民,剧情/传记/历史,英国/意大利/中国大陆/法国/美国,英语/汉语普通话/日语/俄语,1987,163分钟,(全部64190条),(全部1494条)
英雄本色,https://movie.douban.com/subject/1297574/,8.7,253342,吴宇森,陈庆嘉,周润发/狄龙/张国荣/朱宝意/李子雄/田丰/吴宇森/曾江/成奎安/徐克/陈志辉,动作/犯罪,香港,粤语/汉语普通话/英语,1986,95分钟,(全部35913条),(全部547条)
魔女宅急便,https://movie.douban.com/subject/1307811/,8.6,260018,宫崎骏,宫崎骏,高山南/佐久间玲/户田惠子/山口胜平/信泽三惠子/加藤治子/关弘子/三浦浩一/山寺宏一/井上喜久子/渊崎由里子/土井美加/土师孝也/浅井淑子/齐藤昌/西村知道/小林优子/池水通洋/辻亲八/大塚明夫/坂本千夏/田口昂/键本景子/津贺有子/龟井芳子/丸山裕子,动画/奇幻/冒险,日本,日语,1989,103分钟,(全部31559条),(全部492条)
雨人,https://movie.douban.com/subject/1291870/,8.7,255381,巴瑞·莱文森,罗纳德·巴斯,达斯汀·霍夫曼/汤姆·克鲁斯/瓦莱丽亚·戈利诺/邦尼·亨特,剧情,美国,英语/意大利语,1988,133分钟,(全部36406条),(全部645条)
萤火虫之墓,https://movie.douban.com/subject/1293318/,8.7,257383,高畑勋,高畑勋,辰己努/白石绫乃/志乃原良子/山口朱美/端田宏三,剧情/动画/战争,日本,日语,1988,89分钟,(全部48245条),(全部1343条)
风之谷,https://movie.douban.com/subject/1291585/,8.8,231935,宫崎骏,宫崎骏,岛本须美/松田洋治/榊原良子/辻村真人/京田尚子/纳谷悟朗/永井一郎/宫内幸平/八奈见乘儿/矢田稔/富永美伊奈/家弓家正/吉田理保子/菅谷政子/坂本千夏/鳕子/麦人/大塚芳忠,动画/奇幻/冒险,日本,日语,1984,117分钟,(全部28024条),(全部399条)
美国往事,https://movie.douban.com/subject/1292262/,9.1,233578,赛尔乔·莱昂内,皮耶罗·德·贝纳迪,罗伯特·德尼罗/詹姆斯·伍兹/伊丽莎白·麦戈文/乔·佩西/波特·杨/塔斯黛·韦尔德/特里特·威廉斯/丹尼·爱罗/理查德·布赖特/詹姆斯·海登/威廉·弗西斯/达兰妮·弗鲁格/拉里·拉普/理查德·弗让吉/罗伯特·哈珀/詹妮弗·康纳利,剧情/犯罪,意大利/美国,英语/法语/意大利语,1984,229分钟,(全部47230条),(全部1149条)
E.T.,https://movie.douban.com/subject/1294638/,8.5,200162,史蒂文·斯皮尔伯格,梅丽莎·马西森,亨利·托马斯/迪·沃伦斯/罗伯特·麦克纳夫顿/德鲁·巴里摩尔/彼德·考约特,剧情/科幻,美国,英语,1982,115分钟,(全部21892条),(全部210条)
闪灵,https://movie.douban.com/subject/1292225/,8.1,215608,斯坦利·库布里克,斯坦利·库布里克,杰克·尼科尔森/谢莉·杜瓦尔/丹尼·劳埃德/斯加特曼·克罗索斯/巴瑞·尼尔森/菲利普·斯通/乔·托克尔/安妮·杰克逊/托尼·伯顿,剧情/悬疑/恐怖,英国/美国,英语,1980,119分钟,(全部49542条),(全部773条)
胭脂扣,https://movie.douban.com/subject/1299288/,8.4,170736,关锦鹏,邱刚健,梅艳芳/张国荣/万梓良/朱宝意/温碧霞/谭倩红/谢贤/汪禹/刘家荣/惠英红/朱瑞棠,剧情/爱情/奇幻,香港,粤语/汉语普通话,1987,96分钟,(全部32553条),(全部1032条)
忠犬八公物语,https://movie.douban.com/subject/1959195/,9.1,88155,神山征二郎,新藤兼人,山本圭/井川比佐志/片桐入/仲代达矢/春川真澄/八千草薰/石野真子/殿山泰司/加藤嘉/石仓三郎/泉谷茂/柳叶敏郎,剧情,日本,日语,1987,107分钟,(全部12679条),(全部277条)
红高粱,https://movie.douban.com/subject/1306505/,8.3,134373,张艺谋,莫言,姜文/巩俐/滕汝骏/钱明/陈志刚/计春华,剧情/爱情/历史/战争,中国大陆,汉语普通话/日语,1988,91分钟,(全部21037条),(全部340条)
终结者,https://movie.douban.com/subject/1300656/,8.0,122550,詹姆斯·卡梅隆,詹姆斯·卡梅隆,阿诺·施瓦辛格/迈克尔·比恩/琳达·汉密尔顿,动作/科幻/惊悚,美国/英国,英语/西班牙语,1984,107分钟,(全部10018条),(全部101条)
赌神,https://movie.douban.com/subject/1300883/,8.1,105187,王晶,王晶,周润发/刘德华/王祖贤/张敏/向华强/龙方/吴孟达/成奎安,剧情/喜剧,香港,粤语/日语/英语,1989,126分钟,(全部10365条),(全部70条)
碧海蓝天,https://movie.douban.com/subject/1300960/,8.7,120258,吕克·贝松,吕克·贝松,让-马克·巴尔/让·雷诺/罗姗娜·阿奎特/保罗·希纳尔/赛尔乔·卡斯特利托/让·布伊兹/马克·迪莱特/格里芬·邓恩/AndréasVoutsinas/瓦伦提娜·瓦格斯/金伯莉·贝克,剧情/爱情,法国/美国/意大利,法语/英语/意大利语,1988,132分钟,(全部26160条),(全部1104条)
