name,movie_url,rate,rating_people,director,writer,actor,genre,place,language,year,movietime,comment,review
月光光心慌慌,https://movie.douban.com/subject/1299586/,6.6,8407,约翰·卡朋特,约翰·卡朋特,唐纳德·普利森斯/杰米·李·柯蒂斯/NancyKyes/P·J·索尔丝/CharlesCyphers,惊悚/恐怖,美国,英语,1978,91分钟,(全部2142条),(全部19条)
死者田园祭,https://movie.douban.com/subject/1366165/,8.9,7732,寺山修司,寺山修司,菅贯太郎/高野浩幸/八千草薰/三上宽/兰妖子/原田芳雄/原泉,剧情,日本,日语,1974,104分钟,(全部2404条),(全部54条)
007之太空城,https://movie.douban.com/subject/1294395/,6.9,6125,刘易斯·吉尔伯特,克里斯托弗·伍德,罗杰·摩尔/洛伊丝·奇利斯/迈克尔·朗斯代尔/理查德·基尔/柯瑞妮·克莱瑞,动作/科幻/惊悚/冒险,英国/美国,英语/意大利,1979,126分钟,(全部705条),(全部16条)
瞧这一家子,https://movie.douban.com/subject/1303801/,8.0,6150,王好为,林力,陈强/黄玲/陈佩斯/张金铃/汪用桓/方舒/刘晓庆,剧情,中国大陆,汉语普通话,1979,98分钟,(全部1000条),(全部14条)
情定日落桥,https://movie.douban.com/subject/1296284/,8.2,7400,乔治·罗伊·希尔,艾伦·伯恩斯,戴安·琳恩/劳伦斯·奥利弗/特罗尼亚斯·伯纳德,喜剧/爱情,法国/美国,法语/英语,1979,108分钟,(全部1986条),(全部74条)
稻草狗,https://movie.douban.com/subject/1293028/,7.6,7368,萨姆·佩金帕,David Zelag Goodman,达斯汀·霍夫曼/苏珊·乔治/皮特·沃恩/T.P.麦肯纳/戴尔·亨尼,剧情/惊悚,英国/美国,英语,1971,118分钟,(全部1511条),(全部53条)
了不起的盖茨比,https://movie.douban.com/subject/1297239/,7.6,5869,Jack Clayton,F·司各特·菲茨杰拉德,罗伯特·雷德福/米亚·法罗/布鲁斯·邓恩/凯伦·布莱克/斯科特·威尔森/萨姆·沃特森/洛伊丝·奇利斯/HowardDaSilva/罗伯茨·布洛瑟姆/爱德华·赫曼/埃利奥特·沙利文/阿瑟·休斯/凯瑟琳·利·斯科特/贝丝·波特/PaulTamarin,剧情/爱情,美国,英语,1974,144分钟,(全部1418条),(全部39条)
十日谈,https://movie.douban.com/subject/1299990/,7.4,6297,皮埃尔·保罗·帕索里尼,皮埃尔·保罗·帕索里尼,弗兰科·奇蒂/尼内托·达沃利/JovanJovanovic/VincenzoAmato,剧情/喜剧/情色,意大利/法国/原西德,意大利语,1971,112分钟,(全部1148条),(全部25条)
望乡,https://movie.douban.com/subject/1303073/,8.7,7158,熊井启,熊井启,栗原小卷/田中绢代/高桥洋子,剧情/历史/战争,日本,日语/马来语,1974,120分钟,(全部1620条),(全部63条)
007之金刚钻,https://movie.douban.com/subject/1295560/,6.8,5571,盖伊·汉弥尔顿,理查德·麦鲍姆,肖恩·康纳利/吉尔·圣约翰/查尔斯·格雷/拉娜·伍德/吉米·迪恩,动作/科幻/惊悚/冒险,英国,英语/德语,1971,120分钟,(全部561条),(全部4条)
革命往事,https://movie.douban.com/subject/1301026/,9.1,7645,赛尔乔·莱昂内,卢恰诺·温琴佐尼,詹姆斯·柯本/罗德·斯泰格尔/玛丽娅·蒙蒂,战争/西部/冒险,意大利,意大利语/西班牙语,1971,157分钟,(全部1973条),(全部40条)
圣山,https://movie.douban.com/subject/1401905/,8.5,7141,亚历桑德罗·佐杜洛夫斯基,亚历桑德罗·佐杜洛夫斯基,亚历桑德罗·佐杜洛夫斯基/HorácioSalinas/ZamiraSaunders,奇幻/冒险,墨西哥/美国,英语/西班牙语,1973,114分钟,(全部2313条),(全部42条)
婚姻生活,https://movie.douban.com/subject/1292981/,9.0,7113,英格玛·伯格曼,英格玛·伯格曼,丽芙·乌曼/厄兰·约瑟夫森/古内尔·林德布洛姆/毕比·安德松/WencheFoss/简·马尔姆斯/贝蒂尔·诺斯特伦/AnitaWall/RossanaMariano/莱娜·贝格曼/英格玛·伯格曼/芭布洛·约尔特·阿夫·奥纳斯,剧情/爱情,瑞典,瑞典语,1973,169分钟,(全部2602条),(全部96条)
万世魔星,https://movie.douban.com/subject/1292881/,8.0,7715,特瑞·琼斯,特瑞·吉列姆,格雷厄姆·查普曼/约翰·克立斯/特瑞·吉列姆/艾瑞克·爱都/特瑞·琼斯/麦克·帕林,喜剧,英国,英语/拉丁语,1979,94分钟,(全部2166条),(全部26条)
恐惧吞噬灵魂,https://movie.douban.com/subject/1294092/,8.5,7083,赖纳·维尔纳·法斯宾德,赖纳·维尔纳·法斯宾德,布里吉特·米拉/埃尔·赫迪·本·萨利姆/芭芭拉·瓦伦汀/伊尔姆·赫尔曼,剧情/爱情,西德,德语/阿拉伯语,1974,Germany:93分钟,(全部2118条),(全部53条)
阿玛柯德,https://movie.douban.com/subject/1298672/,8.7,6962,费德里科·费里尼,费德里科·费里尼,普佩拉·玛奇奥/阿尔曼多·布兰恰/玛加丽·诺尔/奇乔·因格拉西亚/南多·奥尔费伊/布鲁诺·扎宁/吉安菲利波·卡尔卡诺/约瑟琳·坦齐利/玛利亚·安东涅塔·贝卢齐,剧情/喜剧,意大利/法国,意大利语/希腊语,1973,123分钟,(全部2172条),(全部58条)
西部世界,https://movie.douban.com/subject/1297907/,7.0,7308,迈克尔·克莱顿,迈克尔·克莱顿,尤·伯连纳/理查德·本杰明/詹姆斯·布洛林/诺曼·巴托德/艾伦·欧朋海默/维多利亚·肖/迪克·范·帕滕/LindaGayeScott/SteveFranken/MichaelT.Mikler/TerryWilson/马杰尔·巴雷特/安妮·兰道/查尔斯·希尔/韦德·克罗斯比,科幻/惊悚/西部,美国,英语,1973,88分钟,(全部2145条),(全部21条)
