name,movie_url,rate,rating_people,director,writer,actor,genre,place,language,year,movietime,comment,review
音乐之声,https://movie.douban.com/subject/1294408/,9.0,316427,罗伯特·怀斯,乔治·胡达勒克,朱莉·安德鲁斯/克里斯托弗·普卢默/埃琳诺·帕克/理查德·海顿/佩吉·伍德/查尔敏·卡尔/希瑟·孟席斯-尤里克/尼古拉斯·哈蒙德/杜安·蔡斯/安吉拉·卡特怀特/黛比·特纳/基姆·卡拉思/安娜·李/波希娅·纳尔逊/本·怀特/丹尼尔·特鲁希特/诺玛·威登/吉尔克里斯特·斯图尔特/马妮·尼克松/埃瓦德妮·贝克/多丽丝·劳埃德/格特鲁德·阿斯特/弗兰克·贝克/SteveCarruthers/山姆·哈里斯/DorothyJeakins/LeodaRichards/杰弗里·塞尔/BernardSell/NormanStevans/BertStevens/MariavonTrapp,剧情/爱情/歌舞/传记,美国,英语/德语,1965,174分钟,(全部37516条),(全部348条)
大闹天宫,https://movie.douban.com/subject/1418019/,9.3,167076,万籁鸣/唐澄,李克弱,邱岳峰/富润生/毕克/尚华/于鼎/李梓/刘广宁,动画/奇幻,中国大陆,汉语普通话,1961,114分钟,(全部17684条),(全部125条)
蒂凡尼的早餐,https://movie.douban.com/subject/1325958/,8.1,153115,布莱克·爱德华兹,杜鲁门·卡波特,奥黛丽·赫本/乔治·佩帕德/帕德里夏·妮尔/巴迪·艾布森/马丁·鲍尔萨姆/约瑟·路易斯·德·维拉龙卡/约翰·麦盖沃/多萝西·惠特尼/斯坦利·亚当斯/埃尔维亚·奥尔曼/艾伦·里德/克劳德·斯特劳德/米基·鲁尼,剧情/喜剧/爱情,美国,英语/葡萄牙语,1961,115分钟,(全部30772条),(全部643条)
毕业生,https://movie.douban.com/subject/1292271/,7.9,133012,迈克·尼科尔斯,卡尔德·威灵汉姆,安妮·班克罗夫特/达斯汀·霍夫曼/凯瑟琳·罗斯/威廉·丹尼尔斯/莫瑞·汉密尔顿/伊莉莎白·威尔森/巴克·亨利/布莱恩·艾弗里/沃尔特·布鲁克/诺曼·费尔/爱丽丝·格斯德丽/马里恩·洛恩/埃达·盖尔/弗兰克·贝克/乔治布鲁格曼/乔治德诺尔芒迪/理查德·德莱弗斯/鲍勃·尤班克斯/迈克·法雷尔/伊丽莎白弗雷泽/唐诺·葛勒特/哈利·霍尔科姆/JonathanHole/RobertP.Lieb/伊莲·梅/伊娃·麦克维/本·墨菲/StuartNisbet/威廉·H·奥布莱恩/萨姆•奥斯廷/诺姆·皮特利克/BernardSell/HalTaggart/凯文·泰德/ArthurTovey/EleanoreVogel/瓦利·韦斯特/DavidWestberg,剧情/喜剧/爱情,美国,英语,1967,106分钟,(全部24702条),(全部784条)
虎口脱险,https://movie.douban.com/subject/1296909/,8.9,133190,热拉尔·乌里,热拉尔·乌里,路易·德·菲奈斯/布尔维尔/克劳迪奥·布鲁克/安德丽·帕里西/科莱特·布罗塞/迈克·马歇尔/玛丽·马凯/皮埃尔·贝尔坦/本诺·施特岑巴赫/玛丽·杜布瓦/特里-托马斯/西戈德·拉普/赖因哈德·科尔德霍夫/赫尔穆特·施奈德/保罗·普雷博伊斯特/汉斯·迈尔/居伊·格罗索/米歇尔·莫多/彼得·雅各布/吕迪·勒努瓦/诺埃尔·达扎尔/皮埃尔·鲁塞尔/皮埃尔·巴斯蒂安/雅克·萨布隆/玛格·阿夫里尔/雅克·博杜因/加布里埃尔·戈班/保罗·梅塞/亨利·热内斯,喜剧/战争,法国/英国,法语/英语/德语,1966,132分钟,(全部20397条),(全部134条)
2001太空漫游,https://movie.douban.com/subject/1292226/,8.7,136969,斯坦利·库布里克,亚瑟·克拉克,凯尔·杜拉/加里·洛克伍德/威廉姆·西尔维斯特/丹尼尔·里希特/雷纳德·洛塞特/罗伯特·比提/肖恩·沙利文/艾德·毕肖普/格伦·贝克/艾伦·吉福德/安·吉利斯,科幻/惊悚/冒险,英国/美国,英语/俄语,1968,149分钟,(全部39206条),(全部779条)
惊魂记,https://movie.douban.com/subject/1293181/,8.9,112070,阿尔弗雷德·希区柯克,约瑟夫·斯蒂凡诺,珍妮特·利/安东尼·博金斯/维拉·迈尔斯/马丁·鲍尔萨姆/约翰·加文,悬疑/惊悚/恐怖,美国,英语,1960,109分钟,(全部24956条),(全部294条)
黄金三镖客,https://movie.douban.com/subject/1401118/,9.1,66996,赛尔乔·莱昂内,阿杰诺雷·因克罗奇,克林特·伊斯特伍德/埃里·瓦拉赫/李·范·克里夫/阿尔多·久弗瑞/路易吉·皮斯蒂利,西部/冒险,意大利/西班牙/西德,意大利语/英语,1966,161分钟,(全部14979条),(全部247条)
窈窕淑女,https://movie.douban.com/subject/1297965/,8.1,58722,乔治·库克,艾伦·杰伊·勒纳,奥黛丽·赫本/雷克斯·哈里森/斯坦利·霍洛威/杰瑞米·布雷特/维尔弗雷德·海德-怀特,剧情/爱情/歌舞,美国,英语,1964,172分钟,(全部10476条),(全部181条)
洛丽塔,https://movie.douban.com/subject/1296992/,7.7,53779,斯坦利·库布里克,弗拉基米尔·纳博科夫,詹姆斯·梅森/谢利·温特斯/苏·莱恩/GaryCockrell/JerryStovin/黛安娜·戴克/露易丝·麦斯威尔/塞克·林德/BillGreene/ShirleyDouglas/玛丽安·斯通/JamesDyrenforth/ColinMaitland/特里·基尔伯恩/C.DenierWarren/彼得·塞勒斯/艾德·毕肖普/彼得·库欣/SusanneGibbs/斯坦利·库布里克/克里斯托弗·李/IsabelleLucas/罗伯塔·肖尔,剧情/爱情/情色,美国/英国,英语/法语/西班牙语/德语,1962,153分钟,(全部10502条),(全部262条)
地道战,https://movie.douban.com/subject/3033864/,8.2,45012,任旭东,任旭东,朱龙广/张勇手/刘秀杰/刘江/王炳彧,战争,中国大陆,汉语普通话,1965,101分钟,(全部4554条),(全部37条)
奇爱博士,https://movie.douban.com/subject/1322848/,8.7,48593,斯坦利·库布里克,斯坦利·库布里克,彼得·塞勒斯/乔治·C·斯科特/斯特林·海登/詹姆斯·厄尔·琼斯/格伦·贝克,剧情/喜剧,美国/英国,英语/俄语,1964,95分钟,(全部10455条),(全部142条)
101忠狗,https://movie.douban.com/subject/1298204/,8.2,32411,克莱德·杰洛尼米/汉密尔顿·卢斯科/沃夫冈·雷瑟曼,比尔·皮特,罗德·泰勒/凯特·鲍尔/本·怀特/丽莎·戴维斯/贝蒂·洛乌·格尔森/J·帕特·奥马利/玛莎·温特沃思/大卫·弗兰克海姆/弗莱德里克·沃洛克/汤姆·康威/都铎·欧文/乔治·佩林/拉姆齐·希尔/奎妮·伦纳德/玛乔丽·本尼特/米基·马加/巴巴拉·比尔德/美美·吉布森/桑德拉·艾勃特/瑟尔·莱文斯克洛福特/比尔·李/保罗·韦克斯勒/芭芭拉·卢迪/丽莎·丹尼尔斯/巴兹尔·勒伊斯达尔/戴尔·麦肯南/西尔维·玛丽奥特,喜剧/动画/家庭/冒险,美国,英语,1961,79分钟,(全部2565条),(全部6条)
