name,rate,rating_people,director,year,movietime,main_country,main_language,main_genre,second_genre,main_actor,second_actor
利兹与青鸟,8.6,10617,山田尚子,2018,90.0,日本,日语,剧情,动画,种崎敦美,东山奈央
深海浩劫,7.0,36572,彼得·博格,2016,108.0,美国,英语,剧情,冒险,马克·沃尔伯格,迪伦·奥布莱恩
绝地隧战,6.0,5602,金秉祐,2018,124.0,韩国,韩语,剧情,动作,河正宇,李善均
梦想合伙人,3.9,26173,张太维,2016,101.0,中国大陆,汉语普通话,剧情,爱情,姚晨,唐嫣
夺命金,7.3,84515,杜琪峰,2011,106.0,香港,粤语,剧情,犯罪,刘青云,何韵诗
自杀小队：严厉惩罚,7.3,9113,刘山姆,2018,86.0,美国,英语,动作,动画,克里斯蒂安·史莱特,凡妮莎·威廉斯
当怪物来敲门,7.2,33413,胡安·安东尼奥·巴亚纳,2016,108.0,西班牙,英语,剧情,儿童,刘易斯·麦克杜格尔,西格妮·韦弗
鸣梁海战,7.1,39142,金韩民,2014,109.0,韩国,韩语,剧情,动作,崔岷植,柳承龙
代号47,6.0,18124,亚历山大·巴赫,2015,96.0,美国,英语,动作,惊悚,鲁伯特·弗兰德,扎克瑞·昆图
独家记忆番外之勇敢爱,4.9,2725,刘畅,2019,90.0,中国大陆,汉语普通话,爱情,爱情,张超,李婷婷
爸爸去哪儿2,4.5,16356,谢涤葵/林妍,2015,96.0,中国大陆,汉语普通话,喜剧,家庭,黄磊,黄忆慈
阿拉姜色,7.6,11948,松太加,2018,109.0,中国大陆,藏语,剧情,家庭,容中尔甲,尼玛颂宋
灾难艺术家,7.5,32862,詹姆斯·弗兰科,2017,103.0,美国,英语,剧情,喜剧,詹姆斯·弗兰科,戴夫·弗兰科
奇妙的家族,7.1,1025,李珉才,2018,112.0,韩国,韩语,喜剧,恐怖,郑在咏,金南佶
魁拔Ⅲ战神崛起,8.2,26225,王川/张钢/周洁,2014,90.0,中国大陆,汉语普通话,动作,动画,刘婧荦,姚姝
突袭,7.6,47045,加雷斯·埃文斯,2011,101.0,印度尼西亚,印尼语,动作,惊悚,伊科·乌艾斯,唐尼·阿兰西亚
魔境仙踪,6.3,42636,山姆·雷米,2013,130.0,美国,英语,奇幻,冒险,詹姆斯·弗兰科,米歇尔·威廉姆斯
独家记忆番外之相信爱,6.6,2543,刘畅,2019,86.0,中国大陆,汉语普通话,爱情,爱情,孙嘉灵,李九霄
虎胆龙威5,6.3,48881,约翰·摩尔,2013,98.0,美国,英语,动作,惊悚,布鲁斯·威利斯,杰·科特尼
泄密者,5.3,21290,邱礼涛,2018,100.0,香港,粤语,剧情,犯罪,吴镇宇,张智霖
女性瘾者：第二部,7.7,40017,拉斯·冯·提尔,2013,123.0,丹麦,英语,剧情,情色,夏洛特·甘斯布,斯特兰·斯卡斯加德
胜者即是正义SP,8.9,65160,石川淳一,2013,119.0,日本,日语,剧情,喜剧,堺雅人,新垣结衣
喊·山,7.9,25265,杨子,2015,111.0,中国大陆,汉语普通话,剧情,爱情,郎月婷,王紫逸
熊出没·原始时代,6.7,12675,丁亮/林汇达,2019,88.0,中国大陆,汉语普通话,喜剧,动画,张伟,张秉君
奥林匹斯的陷落,6.3,51926,安东尼·福奎阿,2013,114.0,美国,英语,动作,动作,杰拉德·巴特勒,艾伦·艾克哈特
