name,rate,rating_people,director,year,movietime,comment,review,main_country,main_language,main_genre,second_genre,main_actor,second_actor
天元突破剧场版：螺岩篇,9.1,2600,今石洋之,2009,127,509,4,日本,日语,剧情,动画,柿原彻也,福井裕佳梨
劳拉现身,5.2,2372,Ellen Seidler/Ellen Seidler,2009,71,638,9,美国,英语,剧情,喜剧,AshleighSumner,JillBennett
少女杀手阿墨2,6.3,2367,金子修介,2005,112,297,9,日本,日语,动作,动作,上户彩,石垣佑磨
雪季过客,8.2,2549,马克·埃文斯,2006,112,660,34,英国,英语,剧情,爱情,艾伦·瑞克曼,埃米丽·汉普希尔
距离,7.4,2223,是枝裕和,2001,132,665,13,日本,日语,剧情,剧情,浅野忠信,井浦新
钢琴，独奏,7.7,2347,瑞卡多·米拉尼,2007,104,548,53,意大利,意大利语,剧情,传记,吉姆·罗斯·斯图尔特,米凯莱·普拉奇多
伦巴,8.3,2541,Dominique Abel/Fiona Gordon/Bruno Romy,2008,77,754,18,法国,法语,喜剧,喜剧,DominiqueAbel,FionaGordon
人造天堂,8.3,2278,青山真治,2000,217,606,13,日本,日語,剧情,剧情,役所广司,宫崎葵
木更津猫眼,8.6,2585,金子文紀,2003,123,482,2,日本,日语,剧情,喜剧,冈田准一,櫻井翔
抢钱袋鼠,6.2,2373,David McNally,2003,89,322,2,美国,英语,喜剧,犯罪,杰瑞·奥康奈尔,安东尼·安德森
恐怖杀人医院,6.2,2385,Tony Krantz,2007,113,439,31,美国,英语,惊悚,恐怖,汤姆·卡瓦纳夫,KathleenYork
极道鲜师：3年D组毕业特别篇,6.8,2486,佐藤東弥,2009,95,215,3,日本,日语,剧情,喜剧,仲间由纪惠,生濑胜久
舞妓班,7.2,2430,水田伸生,2007,120,501,14,日本,日语,喜剧,喜剧,阿部隆史,堤真一
禅,7.8,2386,高桥伴明,2009,127,695,48,日本,日语,剧情,传记,中村勘九郎,内田有纪
两个穿运动服的人,7.6,2472,中村义洋,2008,94,781,14,日本,日语,喜剧,喜剧,鮎川誠,堺雅人
卡洛尔的旅程,8.0,2447,伊马诺尔·乌里维,2002,103,644,14,西班牙,西班牙语,剧情,家庭,克拉拉·拉戈,胡安·何塞·巴列斯塔
性和死亡101,6.1,2366,丹尼尔·沃特斯,2007,100,411,18,美国,英语,剧情,喜剧,西蒙·贝克,薇诺娜·瑞德
魔鬼雷普利,7.1,2352,莉莉安娜·卡瓦尼,2002,110,408,9,意大利,英语,剧情,悬疑,约翰·马尔科维奇,多格雷·斯科特
约会电影,5.1,2315,Aaron Seltzer/Jason Friedberg,2006,83,434,15,美国,英语,喜剧,爱情,艾丽森·汉妮根,亚当·坎贝尔
十二月男孩,6.6,2239,罗德·哈迪,2007,105,384,29,澳大利亚,英语,剧情,爱情,丹尼尔·雷德克里夫,李·柯尔梅
女同志吸血鬼杀手,4.3,2535,菲尔·克雷东,2009,86,561,8,英国,英语,喜剧,动作,希薇娅·克洛卡,MargaritaHall
哈迪塞镇之战,7.5,2617,Nick Broomfield,2007,93,500,38,英国,英语,剧情,历史,NickBroomfield,MarcHoeferlin
绝命休息站,5.2,2520,John Shiban,2006,80,512,22,美国,英语,惊悚,恐怖,JaimieAlexander,JaimieAlexander
死人的鞋子,7.1,2445,西恩·迈德斯,2004,90,545,24,英国,英语,剧情,惊悚,帕迪·康斯戴恩,加里·斯加奇
燃情迈阿密,7.0,2604,Tarun Mansukhani,2008,145,718,19,印度,英语,剧情,喜剧,阿布舍克·巴强,约翰·亚伯拉罕
与个人无关,7.7,2274,乌祖拉·安东尼娅克,2009,85,691,45,爱尔兰,英语,剧情,剧情,洛特·弗贝克,斯蒂芬·瑞
无形杀,6.0,2504,王竞,2009,89,563,37,中国大陆,普通话,犯罪,犯罪,印小天,汤嬿
极速漂移,5.9,2312,Axel Sand,2008,105,270,21,德国,英语,动作,惊悚,艾琳·卡希尔,安德鲁·W·沃克
呆呆精灵,6.3,2164,塞巴斯蒂安·尼曼,2006,103,379,6,德国,德语,喜剧,动画,米夏埃尔·赫尔比希,克里斯托夫·玛丽亚·赫布斯特
卢浮宫迷情,7.5,2337,Laurent de Bartillat,2007,88,518,37,法国,法语,剧情,悬疑,西尔维·泰斯蒂,詹姆斯·提瑞
回家的路,5.2,2297,方刚亮,2008,93,379,31,中国大陆,汉语普通话,喜剧,家庭,范冰冰,杜汶泽
爱情导师,5.0,2446,Marco Schnabel,2008,87,296,10,美国,英语,喜剧,爱情,麦克·梅尔斯,杰西卡·辛普森
1:99电影行动,7.5,2090,陈果/陈德森/周星驰/刘伟强/马伟豪/麦兆辉/杜琪峰/谢立文/徐克/韦家辉,2003,70,257,5,香港,粤语,剧情,剧情,郑秀文,林雪
杰克与豆茎,7.3,2242,布赖恩·汉森,2001,174,274,4,美国,英语,剧情,奇幻,马修·莫迪恩,达丽尔·汉纳
明日的记忆,8.2,2460,堤幸彦,2006,122,633,32,日本,日语,剧情,剧情,渡边谦,樋口可南子
