name,url,rate,box,director,writer,actor,genre,place,language,releasedate,movietime
爱丽丝梦游仙境,https://movie.douban.com/subject/2336785/,7.1,223800000,蒂姆·波顿,琳达·伍尔芙顿,米娅·华希科沃斯卡/约翰尼·德普/海伦娜·伯翰·卡特/安妮·海瑟薇/克里斯平·格洛弗/马特·卢卡斯/斯蒂芬·弗雷/麦克·辛/艾伦·瑞克曼/克里斯托弗·李,奇幻/冒险,美国,英语,2010-03-26,108
大兵小将,https://movie.douban.com/subject/3279107/,6.8,153800000,丁晟,丁晟,成龙/王力宏/刘承俊/杜玉明/林鹏/徐冬梅/王宝强/于荣光/卢惠光/晋松/吴樾/新七小福,喜剧/动作/冒险,中国大陆/香港,汉语普通话/娄凡语,2010-02-14,96
苏乞儿,https://movie.douban.com/subject/3736637/,4.8,48200000,袁和平,杜致朗,赵文卓/周迅/杨紫琼/周杰伦/安志杰/郭晓东/刘家辉/蒋璐霞/刘畊宏/梁家仁/向佐/黎烈弓/闫妮/冯小刚/大卫·卡拉丁,剧情/动作/历史,中国大陆/香港,汉语普通话,2010-02-09,115
虹猫蓝兔火凤凰,https://movie.douban.com/subject/4124917/,6.6,1500000,贺梦凡,贺梦凡,谢娜/何炅/杜海涛/吴昕/李维嘉/袁慧敏/王娜/刘娟/张怀武,动画,中国大陆,汉语普通话,2010-02-05,85
鼠来宝：明星俱乐部,https://movie.douban.com/subject/3071461/,6.9,8300000,贝蒂·托马斯,Jon Vitti,贾斯汀·朗/安娜·法瑞丝/马修·格雷·古柏勒/克里斯蒂娜·艾伯盖特/杰森·李/杰西·麦卡尼/大卫·克罗斯,喜剧/动画/音乐/家庭/奇幻,美国,英语,2010-02-08,88
锦衣卫,https://movie.douban.com/subject/3754946/,5.9,142000000,李仁港,邝文伟,甄子丹/赵薇/吴尊/徐子珊/戚玉武/陈观泰/午马/洪金宝/罗家英/刘松仁,剧情/动作/惊悚/武侠/古装,中国大陆/香港/新加坡,汉语普通话/粤语,2010-02-03,112
喜羊羊与灰太狼之虎虎生威,https://movie.douban.com/subject/4082101/,6.8,124700000,赵崇邦,,谢天华/王祖蓝/邓丽欣/麦长青/曾佩仪,动画/儿童,中国大陆,汉语普通话/粤语,2010-01-29,89
花田喜事2010,https://movie.douban.com/subject/3804746/,5.2,58000000,黄百鸣,黄子桓,黄百鸣/吴君如/古天乐/郑中基/潘粤明/熊黛林/杨颖/李香琴/田蕊妮,喜剧,中国大陆/香港,粤语/汉语普通话,2010-02-10,93
72家租客,https://movie.douban.com/subject/4062922/,6.7,33100000,曾志伟,叶念琛,张学友/曾志伟/袁咏仪/黄宗泽/邓丽欣/钟嘉欣/王祖蓝/梁天/刘美君/徐子珊/佘诗曼/林家栋/许志安/陈慧琳/张卫健/林峯/廖碧儿/郑欣宜/黎耀祥/谢天华/陈百祥/薛家燕/侧田/邵音音/刘以达/陈法拉,喜剧,香港,粤语,2010-02-11,99
孔子,https://movie.douban.com/subject/3606975/,5.4,99500000,胡玫,陈汗,周润发/周迅/陈建斌/任泉/陆毅/姚橹/张凯丽/王斑/许还山/马精武/毕彦君/李欣汝/刘峰超/李文波/阚金明/马东延,剧情/传记,中国大陆/香港,汉语普通话,2010-01-22,125
