name,rate,rating_people,director,writer,actor,genre,place,language,year,movietime
马克斯我的爱,6.9,1363,大岛渚,让-克洛德·卡里埃,夏洛特·兰普林/安东尼·希金斯/维多利亚·阿夫里尔/Anne-MarieJoubert/尼科尔·卡尔方/皮埃尔·埃泰/贝尔纳德·哈勒尔/萨宾娜·豪德品/ChristopherHovik/法布莱斯·鲁奇尼/戴安娜·奎克/米莱娜·伍柯迪克/贝尔纳-皮埃尔·多纳迪约/ThomasAusterweil/博纳费·塔尔布利耶什,喜剧,法国/美国,法语/英语,1986,92
妙探寻凶,7.4,1575,乔纳森·林恩,Anthony E. Pratt,蒂姆·克里/艾琳·布伦南/玛德莲·卡恩/克里斯托弗·洛伊德/迈克尔·麦基恩/马丁·马尔/莱斯莉·安·华伦/考林·加普/LeeVing,喜剧/悬疑/惊悚/犯罪,美国,英语/法语,1985,94
南方,8.2,1449,维克多·艾里斯,维克多·艾里斯,奥梅罗·安东努蒂/SonsolesAranguren/伊西亚尔·博利亚因,剧情/爱情,西班牙/法国,西班牙语,1983,95
神秘的大佛,6.6,1372,张华勋,谢洪,刘晓庆/葛存壮/江庚辰,剧情/动作/悬疑/惊悚/恐怖/犯罪/武侠,中国,国语,1980,100
审问,8.5,1397,赖斯扎德·布加斯基,赖斯扎德·布加斯基,克里斯提娜·杨达/亚当·费仁希/扬努斯·加约斯/阿格涅丝卡·霍兰/安娜·罗曼拖拉斯卡/波泽纳·里基尔/奥尔基尔德·鲁卡斯瑟维克茨/TomaszDedek/JanJurewicz/JaroslawKopaczewski/ZofiaBalucka/ArkadiuszBazak/KrzysztofGosztyla/AntoninaGirycz/O.Jasinska,剧情/惊悚/犯罪,波兰,波兰语,1989,118
我的美国舅舅,8.2,1439,阿伦·雷乃,亨利·拉博里,热拉尔·德帕迪约/妮可·加西亚/罗歇·皮埃尔,剧情/喜剧/爱情,法国,法语,1980,125
银蛇谋杀案,6.6,1435,李少红,胡冰,贾宏声/张京生/韩廷琦/李勤勤,惊悚,中国大陆,汉语普通话,1988,88
金装大酒店,6.4,1452,刘镇伟,刘镇伟,郑则仕/吴耀汉/张学友/王祖贤/叶童/曾志伟/钟楚红/夏文汐/胡枫/秦祥林/单立文/苏德华/吕秀菱/仓田保昭/何守信/陈辉虹/楼南光/叶荣祖,喜剧,香港,粤语,1988,88
佩姬苏要出嫁,6.0,1531,弗朗西斯·福特·科波拉,Jerry Leichtling,凯瑟琳·特纳/尼古拉斯·凯奇/贝瑞·米勒/凯瑟琳·海克丝/琼·艾伦/金·凯瑞,剧情/喜剧/爱情/奇幻,美国,英语,1986,103
盲女与狐狸,7.7,1201,浦家祥,聂欣如,无,动画,中国大陆,汉语普通话,1982,21
胡越的故事,7.1,1368,许鞍华,张坚庭,周润发/缪骞人/钟楚红/罗烈/金彪,剧情/犯罪,香港,粤语,1981,90
阴阳错,7.4,1473,林岭东,高志森,谭咏麟/倪淑君/叶童/董骠/邓碧云,剧情/爱情/奇幻,香港,粤语,1983,98
女人心,6.9,1359,关锦鹏,黎杰,周润发/缪骞人/钟楚红/金燕玲/任喜宝/李琳琳/李默/张燕君,剧情,香港,粤语,1985,91
