name,rate,rating_people,director,writer,actor,genre,place,language,year,movietime
驴得水,8.3,463375,周申/刘露,周申,任素汐/大力/刘帅良/裴魁山/阿如那/韩彦博/卜冠今/王堃/高阳/苏千越/亚瑟·麦克拉蒂/王峰,剧情/喜剧,中国大陆,汉语普通话,2016,111
傲娇与偏见,4.8,44005,李海蜀/黄彦威,李海蜀,迪丽热巴/张云龙/高伟光/金晨/马薇薇/范湉湉/迈克·安吉洛/周海媚/樊野/李彧,喜剧/爱情,中国大陆,汉语普通话,2017,108
名侦探柯南：纯黑的恶梦,6.2,44755,静野孔文,樱井武晴,高山南/山崎和佳奈/小山力也/茶风林/绪方贤一/岩居由希子/高木涉/大谷育江/林原惠美/天海祐希/池田秀一/古谷彻,动画/悬疑,日本,日语,2016,112
环形使者,6.9,136646,莱恩·约翰逊,莱恩·约翰逊,约瑟夫·高登-莱维特/布鲁斯·威利斯/艾米莉·布朗特/保罗·达诺/皮尔斯·加格农/杰夫·丹尼尔斯/许晴,动作/科幻/惊悚,美国/中国大陆,英语/法语/汉语普通话,2012,110
蝙蝠侠：黑暗骑士归来(下),8.8,19287,杰伊·欧力瓦,鲍勃·古德曼,彼得·威勒/阿芮尔·温特/迈克尔·爱默生/迈克尔·麦基恩MichaelMcKean/马克·瓦雷MarkValley/大卫·塞尔比DavidSelby,动作/动画,美国,英语,2013,76
家和万事惊,5.9,10254,邱礼涛,张达明,吴镇宇/古天乐/袁咏仪/张达明/吴肇轩/蔡颂思/黄秋生/林雪/郑丹瑞/卢海鹏/雷琛瑜/江美仪/麦长青/阮文泰/孔令令/梁山山/杨玉梅/谷德昭/利颖怡/李灿森/马蹄露/黄文慧/泰臣/胡枫/苑琼丹/杨诗敏/乔宝宝/庄思敏/王俊棠/刘浩龙/林子聪/陆永/郑诗君/余子明/徐浩昌/安德尊/杨偲泳/罗家英/郑欣宜/麦玲玲,喜剧/家庭,中国大陆/香港,粤语,2019,92
想爱就爱2,6.2,25322,萨拉萨瓦蒂·翁索姆佩奇,阿瑟·F·古德里奇,苏查拉·玛娜英/素帕娜·吉塔勒拉/李敏恩,剧情/爱情,泰国,泰语,2012,105
90年代中期,7.2,3157,乔纳·希尔,乔纳·希尔,桑尼·苏尔季克/凯瑟琳·沃特斯顿/卢卡斯·赫奇斯/纳-凯尔·史密斯/奥伦·普雷纳特/吉奥·加利西亚/赖德·麦克劳克林/亚历克萨·德米/哈莫尼·科林/杰洛德·卡尔迈克/贾克斯·马尔科姆,剧情/喜剧,美国,英语,2018,84
表情奇幻冒险,5.2,5586,安东尼·莱昂迪斯,安东尼·莱昂迪斯,T·J·米勒/詹姆斯·柯登/安娜·法瑞丝/玛娅·鲁道夫/史蒂夫·赖特/詹妮佛·库里奇/帕特里克·斯图尔特/克里斯蒂娜·阿奎莱拉/索菲娅·维加拉/瑞秋·雷/西恩·海耶斯/杰克·T·奥斯汀/塔蒂·加布里埃/杰夫瑞·罗斯/亨特·玛奇/艾瑞克·希格尔/肖恩·吉布朗尼/连姆·艾肯/索姆·毕绍普斯/凯文·张伯伦/亚当·布朗/乔·怀特/康拉德·弗农/凯特·歌妮,喜剧/动画/冒险,美国,英语,2017,86
暗杀游戏,3.7,5676,萨里·奥德赛耶,安德烈·加夫里洛夫,瓦蒂姆·提萨拉提/维奥莱塔·吉特孟斯塔雅/韦尼亚明·斯梅霍夫/维克多·维尔比斯基/娜塔尔雅·卢达娃/瓦谢斯拉夫·拉贝戈耶夫/安德烈·查多夫/尤里·切里辛/奥丽伽·图玛金娜/KarenBadalov/AlekseyGrishin/nm1572687/ArtyomSuchkov/VsevolodKuznetsov,动作/科幻/惊悚,俄罗斯,俄语/英语,2016,100
突然变异,6.3,10301,权五光,权五光,李光洙/李天熙/朴宝英/张光,喜剧,韩国,韩语,2015,92
再见，克里斯托弗·罗宾,7.8,5873,西蒙·柯蒂斯,弗兰克·科特雷尔·博伊斯,多姆纳尔·格里森/玛格特·罗比/威尔·蒂尔斯顿/埃里克斯·劳瑟/凯莉·麦克唐纳/肖恩·丁沃/斯蒂芬·坎贝尔·莫尔/理查德·麦凯布/薇琪·佩珀代因/杰拉丁·萨莫维尔/菲比·沃勒-布里奇/马克·坦迪/理查德·迪克森/理查德·克里弗特/西蒙·威廉姆斯/罗伯特·波特尔,剧情/家庭/传记/历史,英国,英语,2017,107
钢之炼金术师：叹息之丘的圣星,7.3,8965,村田和也,真保裕一,朴璐美/钉宫理惠/坂本真绫/森川智之/木内秀信/三木真一郎/折笠富美子/高本惠/内海贤二/玉川纱己子/屋良有作/古岛清孝/川田绅司/星野贵纪/岸野幸正/梅津秀行/江川央生/石井康嗣/田中敦子/木村良平/东山奈央/佐藤健辅/小伏伸之/田中美奈实/小杉龙一/吉田敬,剧情/动作/动画/奇幻/冒险,日本,日语,2011,110
单亲度假村,7.3,14229,弗兰克·克拉斯,伊万·文谢尔,亚当·桑德勒/德鲁·巴里摩尔/凯文·尼龙/泰瑞·克鲁斯/温迪·麦克伦登-考威/艾玛·福尔曼/贝拉·索恩/布拉克斯顿·贝克汉姆/阿利维亚·阿林·林德/乔尔·麦克哈尔/阿卜杜拉耶·恩戈姆/凯尔·西尔弗斯坦/扎克·亨利/杰西卡·洛威/沙奎尔·奥尼尔,喜剧,美国,英语,2014,117
尸忆,6.8,8559,谢庭菡,谢庭菡,吴慷仁/谢欣颖/田中千绘/严正岚/陈楚翔/江青霞/池端玲名,惊悚/恐怖,台湾/日本,汉语普通话,2015,89
青少年,6.8,11233,贾森·雷特曼,迪亚波罗·科蒂,查理兹·塞隆/帕特里克·威尔森/科莱特·沃夫/伊莉莎白·里瑟/路易莎·克劳瑟/帕顿·奥斯瓦尔特,剧情/喜剧,美国,英语,2011,94
维多利亚的秘密2012时装秀,8.3,7609,哈密什·汉密尔顿/Dee Koppang O'Leary,,莉莉·奥尔德里奇/亚历桑德拉·安布罗休/JamareoArtis/DorotheaBarthJorgensen/贾斯汀·比伯/PhredleyBrown/KenjiChan/艾里珊·钟/卡拉·迪瓦伊/SharamDiniz/丽丽·唐纳森/DwayneDugger/卓丹·邓/琳赛·艾林森/BarbaraFialho,真人秀,美国,英语,2012,43
最后的约定,7.2,6254,佐藤祐市,金子茂樹,大野智/樱井翔/相叶雅纪/二宫和也/松本润/藤木直人/黑木美沙/北村有起哉,剧情,日本,日语,2010,130
是爱非友,7.6,3423,Papu Curotto,Andi Nachon,IgnacioRogers/EstebanMasturini/JoaquínParada/BlasFinardiNiz/RenataCalmon/MaríaMerlino/马塞洛·索比奥托/PabloCura/MarianaMartinez/FelipeTitto,剧情/爱情/同性,阿根廷/巴西/法国,西班牙语/葡萄牙语,2016,83
蛇之拥抱,7.8,4303,西罗·格拉,西罗·格拉,扬·贝弗特/博昂内·戴维斯/路易吉·莎玛娜/尼比欧·托雷斯/安东尼奥·玻利瓦尔,剧情/冒险,哥伦比亚/委内瑞拉/阿根廷,西班牙语/德语/葡萄牙语/加泰罗尼亚语/拉丁语,2015,125
兄弟出头天,7.7,17214,费舍·史蒂芬斯,Noah Haidle,阿尔·帕西诺/克里斯托弗·沃肯/朱丽安娜·玛格丽丝/凯瑟琳·温妮克/艾伦·阿金/艾狄森·蒂姆林/范妮莎·费丽托/马克·马戈利斯/里克·高莫兹/维罗妮卡·罗萨蒂,喜剧,美国,英语,2012,95
甜心巧克力,5.1,4542,筱原哲雄,米子,林志玲/池内博之/福地佑介/陈廷嘉/郭念秋/姚亦辰/唐群/李铭顺/林江国/山本圭,爱情,中国大陆/日本,日语/汉语普通话,2012,98
喜羊羊与灰太狼之羊年喜羊羊,5.3,2028,黄伟明,吴潮威,祖晴/张琳/杨阳洋/高全胜/梁颖/邓玉婷/刘红韵/赵娜,喜剧/动画/家庭/奇幻/冒险,中国大陆,汉语普通话,2015,86
刺杀林肯,6.6,1399,Adrian Moat,埃里克·延德雷森,比利·坎贝尔/杰西·约翰逊/汤姆·汉克斯/格拉汉姆·贝克尔,剧情/传记/历史,美国,英语,2013,88
定罪,7.9,8408,托尼·戈德温,帕梅拉·格雷,希拉里·斯万克/山姆·洛克威尔/梅丽莎·里奥/明妮·德里弗/拜莉·麦迪逊/托比亚斯·坎贝尔/朱丽叶特·刘易斯/托马斯·D·马哈德/欧文·坎贝尔/康纳尔·多诺万,剧情/传记,美国,英语,2010,107
苹果核战记：阿尔法,6.6,4817,荒牧伸志,玛丽安·克罗奇克,小松由佳/诹访部顺一/悠木碧/高桥广树/东地宏树/名塚佳织/堀胜之祐/玄田哲章,动作/科幻/动画,日本/美国,英语,2014,93
轻音少女番外篇：Live,8.8,3552,山田尚子,吉田玲子,丰崎爱生/日笠阳子/佐藤聪美/寿美菜子/竹达彩奈,动画,日本,日语,2010,24
缄默的迷宫,7.7,3455,朱利奥·里奇尔利,伊丽莎白·巴特尔,亚历山大·费林/安德烈·谢曼斯基/弗里德里克·贝得勒支/约翰内斯·克里施/约翰·冯·比罗/罗伯特·亨格-布勒/汉希·乔奇曼/卢卡斯·米科/格特·沃斯/蒂姆·威廉姆斯/沃纳·沃班/蒂莫·迪尔克斯/迈克尔·施森塔纳/莉萨·马丁内克,剧情/历史,德国,德语,2014,124
两个心脏,6.3,1152,Jung Yeon-Sik,郑严植 Jung Yeon-Sik,Hak-rakChoi/郑仁基/Jeong-ha,惊悚,韩国,韩语,2013,123
黑客帝国2：重装上阵,8.5,184465,莉莉·沃卓斯基/拉娜·沃卓斯基,莉莉·沃卓斯基,基努·里维斯/凯瑞-安·莫斯/劳伦斯·菲什伯恩/雨果·维文/莫妮卡·贝鲁奇/贾达·萍克·史密斯/格洛丽亚·福斯特/邹兆龙/朗贝尔·维尔森,动作/科幻,美国/澳大利亚,英语/法语,2003,138
垂直极限,7.7,23518,马丁·坎贝尔,Robert King,克里斯·奥唐纳/罗宾·汤尼/尼古拉斯·李/斯科特·格伦/伊沙贝拉·斯科鲁普科/比尔·帕克斯顿/本·门德尔森/史蒂芬·李·马奎德,动作/惊悚/冒险,美国/德国,英语/乌尔都语,2000,124
尽情游戏,8.1,23947,让-皮埃尔·热内,让-皮埃尔·热内,丹尼·伯恩/安德烈·杜索里埃/多米尼克·皮侬/友兰达·梦露/尼古拉·马里耶,喜剧/犯罪,法国,法语,2009,105
天国的邮递员,7.0,19660,李亨民,北川悦吏子,金在中/韩孝周,剧情/爱情/奇幻,韩国/日本,韩语/日语,2009,105
丑闻笔记,7.8,21907,理查德·艾尔,派崔克·马柏,朱迪·丹奇/凯特·布兰切特/汤姆·乔治森/迈克尔·马罗尼/比尔·奈伊/朱诺·坦普尔,剧情/惊悚,英国,英语,2006,92
冲出宁静号,7.2,22162,乔斯·韦登,乔斯·韦登,内森·菲利安/吉娜·托瑞斯/艾伦·图代克/莫蕾娜·巴卡琳/亚当·鲍德温/朱尔·斯泰特/莎莫·格劳,动作/科幻/冒险,美国,英语/汉语普通话,2005,119
男孩A,8.2,22219,约翰·克劳利,马克·奥罗,安德鲁·加菲尔德/彼得·穆兰/肖恩·埃文斯/希欧布罕·芬内朗/JeremySwift/SkyeBennett,剧情/爱情/犯罪,英国,英语,2007,106
我盛大的同志婚礼,7.0,20698,丹尼斯·杜根,Barry Fanaro,亚当·桑德勒/凯文·詹姆斯/杰西卡·贝尔/丹·艾克罗伊德/文·瑞姆斯/尼克·斯旺森,喜剧/爱情/同性,美国,英语,2007,115
墨西哥往事,7.3,19675,罗伯特·罗德里格兹,罗伯特·罗德里格兹,安东尼奥·班德拉斯/萨尔玛·海耶克/约翰尼·德普/威廉·达福/米基·洛克/伊娃·门德斯/安立奎·伊格莱希亚斯/丹尼·特雷霍,动作/犯罪/西部,美国/墨西哥,英语/西班牙语,2003,102
乘客,6.6,23285,罗德里戈·加西亚,龙尼·克里斯滕森,安妮·海瑟薇/帕特里克·威尔森/克里·杜瓦尔/大卫·摩斯/黛安·韦斯特/安德鲁·布劳尔,剧情/爱情/悬疑/惊悚,美国/加拿大,英语,2008,93
猫女,5.8,17654,皮托夫,John D. Brancato,哈莉·贝瑞/本杰明·布拉特/莎朗·斯通/朗贝尔·维尔森/弗兰西丝·康罗伊,动作/犯罪/奇幻,美国/澳大利亚,英语/西班牙语,2004,104
救命,6.6,18209,罗志良,陈淑贤,林嘉欣/李心洁/许志安/黄浩然/廖启智/文颂娴/周永恒,剧情/惊悚/恐怖,香港,粤语,2004,88
天降奇兵,7.0,19569,斯蒂芬·诺林顿,詹姆斯·罗宾逊,肖恩·康纳利/纳萨鲁丁·沙/皮塔·威尔逊/托尼·库兰/斯图尔特·汤森德,动作/科幻/冒险,美国/德国/捷克/英国,英语/德语/意大利语,2003,110
飞天小女警,8.0,17802,克雷格·迈克科雷肯,查理·宾,凯茜·卡瓦蒂妮/塔拉·斯特朗/伊丽莎白·戴利/罗格·杰克逊/汤姆·凯恩,剧情/喜剧/动作/动画/家庭/奇幻/冒险,美国,英语,2002,73
前路漫漫,7.5,21740,北川悦吏子,北川悦吏子,北乃绮/冈田将生/沟端淳平/仲里依纱/成宫宽贵/白石美帆/大泽隆夫,剧情/爱情,日本,日语,2009,85
撕裂人,6.0,20626,詹姆斯·古恩,詹姆斯·古恩,内森·菲利安/伊丽莎白·班克斯/塔尼亚·索尔尼尔/格雷格·亨利/仙莎·拉德蕾/迈克尔·鲁克,喜剧/科幻/恐怖,加拿大/美国,英语,2006,95
四角关系,7.5,21266,欧·帕克,欧·帕克,派珀·佩拉博/琳娜·海蒂/马修·古迪/西莉亚·伊姆里/安东尼·海德/达伦·博伊德/苏·乔斯顿/布·杰克森/莎朗·豪根/伊娃·柏西斯托/雯叶特·罗宾逊/本·迈尔斯/约翰·汤普森/MonaHammond/里克·沃登/安琪儿·库碧,剧情/喜剧/爱情/同性,德国/英国,英语,2005,90
火星任务,7.6,20771,布莱恩·德·帕尔玛,格雷厄姆·约斯特,加里·西尼斯/蒂姆·罗宾斯/唐·钱德尔/康妮·尼尔森/杰瑞·奥康奈尔,剧情/科幻/惊悚/冒险,美国,英语,2000,114
魔幻时刻,8.3,23273,三谷幸喜,三谷幸喜,佐藤浩市/妻夫木聪/深津绘里/绫濑遥/西田敏行/小日向文世/寺岛进/香川照之/近藤芳正/山本耕史/市川昆/中井贵一/天海祐希/唐泽寿明/谷原章介/铃木京香/寺胁康文/堀部圭亮/伊吹吾郎,喜剧,日本,日语,2008,136
爱久弥新,7.8,20895,Yongyoot Thongkongtoon,ยงยุทธ ทองกองทุน,亚瑞克·阿莫苏帕西瑞/雅琳达·邦恩纳克/珊萨妮·瓦达纳努古恩,剧情/爱情,泰国,泰语,2009,117
剑蝶,4.8,18873,马楚成,马楚成,吴尊/蔡卓妍/胡歌/庾澄庆/狄龙/谭俊彦/冼色丽/熊欣欣,动作/爱情,香港/中国,粤语,2008,102
蓝宇,8.1,152885,关锦鹏,魏绍恩,胡军/刘烨/苏瑾/李华彤/卢芳/张永宁/李爽/李滨/张少华/赵敏芬,剧情/爱情/同性,中国大陆/香港,汉语普通话,2001,86
无人知晓,9.1,116345,是枝裕和,是枝裕和,柳乐优弥/北浦爱/木村飞影/清水萌萌子/韩英惠/江原由希子/串田和美/冈元夕纪子/楯隆子/加濑亮/村野友希/田中庆太/木村佑一/远藤宪一/寺岛进/平泉成,剧情,日本,日语,2004,141
新宿事件,7.4,92491,尔冬升,尔冬升,成龙/竹中直人/吴彦祖/徐静蕾/范冰冰/加藤雅也/高捷/秦沛/林雪/仓田保昭/钱嘉乐/峰岸彻/姜丽文,剧情/惊悚/犯罪,香港,汉语普通话/日语/粤语/英语/闽南语,2009,119
末日侵袭,6.1,10044,尼尔·马歇尔,尼尔·马歇尔,罗娜·迈特拉/鲍勃·霍斯金斯/亚历山大·希迪格/艾德里安·莱斯特/西恩·帕特维,动作/科幻/惊悚,英国/美国/南非/德国,英语,2008,105
同居蜜友,6.6,8084,马伟豪,马伟豪,郑秀文/梁朝伟/周励淇/李耀明/夏萍/李枫/森美,喜剧/爱情,香港,粤语,2001,102
跨国银行,6.4,9823,汤姆·提克威,埃里克·辛格尔,克里夫·欧文/娜奥米·沃茨/阿明·缪勒-斯塔尔/乌尔里奇·汤姆森/布莱恩·F·奥博恩,动作/悬疑/惊悚/犯罪,美国/德国/英国,英语/意大利语/法语,2009,118
淘气少女求爱记,6.4,7077,尹学烈,尹学烈,张娜拉/朴正哲/金赫,剧情/喜剧/爱情,韩国,韩语,2003,96
所罗门王凯恩,5.8,6766,Michael J. Bassett,迈克尔·巴塞特,RachelHurd-Wood/JamesPurefoy,动作/奇幻/冒险,法国,英语,2009,104
少年往事,7.8,6231,陈建忠,陈建忠,翟天临/马晓倩/俞闻天/张斯会/孙祺/管西庆/马修伊·恰希安/吕经晨/吕纬辰/杨梦超,剧情,香港,汉语普通话,2003,88
少女杀手阿墨,6.4,5754,北村龙平,桐山勋,上户彩/小栗旬/原田芳雄/成宫宽贵/小桥贤儿,剧情/动作/惊悚/奇幻/冒险,日本,日语,2003,128
裂口女,5.1,5295,白石晃士,白石晃士,佐藤江梨子/加藤晴彦/水野美纪/川合千春,恐怖,日本,日语,2007,90
生死劫,7.7,4978,李少红,廖一梅,吴军忱/周迅/蔡明/苏小明,剧情,中国,汉语普通话,2005,90
先婚后友,6.2,4623,迈克尔·伊恩·布莱克,迈克尔·伊恩·布莱克,贾森·比格斯/艾拉·菲舍尔/爱德华·赫曼/迈克尔·温斯顿,喜剧/爱情,美国,英语,2006,90
阿娘,6.5,4331,安相勋,安相勋,宋允儿/李栋旭/李忠秀/金玉彬/郑元中,爱情/悬疑/恐怖,韩国,韩语,2006,97
五月魔女,6.7,5008,拉齐·马凯,拉齐·马凯,安吉拉·贝蒂斯/杰瑞米·西斯托/安娜·法瑞丝,剧情/悬疑/惊悚/恐怖,美国,英语,2002,93
欢乐树的朋友们：第二发球,9.2,4111,Rhode Montijo/Kenn Navarro,Mark Fiorenza,Michael'Lippy'Lipman/PeterHerrmann/LizStewart/NicaLorber,喜剧/动画,美国,英语,2003,60
未竟一生,7.8,4541,拉斯·霍尔斯道姆,Mark Spragg,罗伯特·雷德福/詹妮弗·洛佩兹/摩根·弗里曼/乔什·卢卡斯/戴米恩·路易斯,剧情,美国/德国,英语,2005,108
爱情万岁,6.7,4253,崔允信,,钟舒漫/陈柏宇/周柏豪/唐素琪/洪卓立/郑希怡,爱情,香港,粤语,2008,98
我爱芳邻,6.8,4508,大谷健太郎,金子亚里纱,长泽雅美/速水直道/阿部力/高桥真唯/市川由衣,爱情/运动,日本,日语,2006,106
凤凰劫,6.5,4185,约翰·摩尔,斯科特·弗兰克,丹尼斯·奎德/泰瑞斯·吉布森/吉奥瓦尼·瑞比西/米兰达·奥图/托尼·库兰/斯蒂奇·芬格茨/贾克波·瓦格斯/休·劳瑞/斯科特·迈克尔·坎贝尔/KevorkMalikyan/贾德·帕达里克/PaulDitchfield/MartinHindy/鲍勃·布朗/安东尼·布兰登·黄,剧情/动作/惊悚/冒险,美国,英语,2004,113
天王流氓,7.8,4520,保罗·麦奎根,Johnny Ferguson,马尔科姆·麦克道威尔/大卫·休里斯/保罗·贝坦尼/萨弗蓉·布罗斯/埃迪·马森,剧情/惊悚/犯罪,德国/爱尔兰/英国,英语,2000,103
中天,5.7,4048,曹东吾,曹东吾,许峻豪/金泰熙/郑雨盛/苏怡贤/金光一,剧情/动作/爱情/奇幻/冒险,韩国,韩语,2006,105
追爱自由行,6.3,4409,斯蒂芬·贝尔伯,斯蒂芬·贝尔伯,詹妮弗·安妮斯顿/史蒂夫·茨恩/伍迪·哈里森/弗莱德·沃德/玛格·马丁戴尔/詹姆斯·廖/盖尔.奥格雷迪/YolandaSuarez,剧情/喜剧/爱情,美国,英语/粤语,2008,94
蜡笔小新：呼风唤雨！光荣的烤肉之路,8.2,4167,Yûji Mutou,原惠一 Keiichi Hara,矢岛晶子/楢桥美纪/藤原启治/兴梠里美/真柴摩利/石丸博也/林玉绪/一龙斋贞友/佐藤智惠/纳谷六朗/高田由美/富泽美智惠/三石琴乃/玄田哲章/小樱悦子/铃木玲子/纱由里/阪口大助/草地章江/江原正士/皆川纯子/真殿光昭/西川宏美/堀越真己/池泽春菜/松冈由贵/乡里大辅/中村大树/宇垣秀成/江川央生/游佐浩二/大西健晴/华原朋美/德弘夏生/石冢运升,动画,日本,日语,2003,88
处女心经,7.0,4229,洪尚秀,洪尚秀,李恩珠/文成根/韩明求/郑宝石/柳善,剧情/爱情/情色,韩国,韩语,2000,126
老友有钱,6.4,4150,妮可·哈罗芬瑟,妮可·哈罗芬瑟,凯瑟琳·基纳/詹森·艾萨克/蒂姆·夏普/琼·库萨克/格雷格·格曼/海莉·诺艾儿·强森/西蒙·迈克伯尼/弗兰西斯·麦克多蒙德/杰克·切里/詹妮弗·安妮斯顿/鲍勃·斯蒂芬森/玛琳·辛科/斯科特·凯恩/TroyRuptash/伊丽莎白·基纳,剧情/爱情,美国,英语,2006,88
亲爱的,6.4,4140,叶念琛,叶念琛,曾恺玹/安志杰/杨爱瑾/关楚耀/杨秀惠/张惠雅/张纹嘉/黎美言/小肥/黄嘉乐/焦姣姣,惊悚,香港,汉语普通话/粤语,2008,89
美丽时光,7.8,2011,张作骥,张作骥,范植伟/高盟杰/吴雨致/曾一哲/余婉妹/田茂英/张湘婷/林亨保/蔡明修/谢月霞,剧情/惊悚/犯罪,台湾/日本,客家话/闽南语/汉语普通话,2001,109
崎路父子情,7.8,2132,安南德·图克尔,David Nicholls,科林·费尔斯/吉姆·布劳德本特/茱丽叶特·斯蒂文森/马修·比尔德/吉娜·麦基/凯瑞·穆里根/伊莲·卡西迪/莎拉·兰卡夏尔/ClaireSkinner,剧情/家庭/传记,英国/爱尔兰,英语,2007,92
男人的未来是女人,7.0,2072,洪尚秀,洪尚秀,成贤娥/金泰宇/刘智泰/吴达洙/严秀贞,剧情/爱情,法国/韩国,韩语,2004,88
阿孖有难,5.6,1928,彭发,彭发,郑伊健/蔡卓妍/黄子华/林海峰/钟镇涛/周俊伟,喜剧/犯罪,香港,粤语/泰语,2004,93
疯狂粉丝王,5.0,1954,葛民辉,陈茂贤,葛民辉/蔡卓妍/张致恒/古巨基/郑嘉颖,喜剧/爱情,香港,粤语,2007,94
同性之光,7.0,1985,艾维特·刘易斯,艾维特·刘易斯,JustinHerwick/ShanePowers/B.Wyatt,剧情/喜剧/同性,美国,英语,2002,90
巴阿里亚,7.5,2213,朱塞佩·托纳多雷,朱塞佩·托纳多雷,马格蕾斯·梅德/雷欧·波瓦/安赫拉·莫利纳/恩里克·洛维索/贝佩·费奥雷罗/FrancescoScianna,剧情/喜剧/历史/战争,意大利/法国,意大利语/西西里语,2009,150
反叛的鲁路修特别篇：暗黑的背叛,8.9,2237,谷口悟朗,大河内一楼,福山润/樱井孝宏/野上尤加奈,动画,日本,日语,2008,117
绝代艳后,7.6,2243,Francis Leclerc/Yves Simoneau,让-克洛德·卡里埃,KarineVanasse/OlivierAubin,剧情/爱情,法国/加拿大,法语,2006,90
偷心俏佳人,6.6,2180,大卫·米尔金,保罗·瓜伊,詹妮弗·洛芙·休伊特/吉恩·哈克曼/西格妮·韦弗/雷·利奥塔/杰森·李,喜剧/爱情/犯罪,美国,英语/俄语,2001,123
机动警察：废弃物13号,7.8,2303,高山文彦/遠藤卓司,Tori Miki,田中敦子/平田广明/绵引胜彦,动作/科幻/动画/犯罪,日本,日语,2002,102
异魔禁区,6.8,2352,斯图尔特·戈登,,EzraGodden/FranciscoRabal/MacarenaGómez,悬疑/惊悚/恐怖/奇幻,西班牙,英语/Galician/西班牙语,2001,95
蓝色果冻海,7.9,2074,Shira Geffen/埃特加·凯雷特,Shira Geffen,SarahAdler/TsiporAizen/BruriaAlbek/阿西·达扬/埃特加·凯雷特,剧情,法国/以色列,希伯来语/英语/德语/塔加拉语,2007,78
拒绝再战,7.3,2150,金伯莉·皮尔斯,金伯莉·皮尔斯,瑞恩·菲利普/约瑟夫·高登-莱维特/罗伯·布朗/查宁·塔图姆/维克多·罗塞克/QuayTerry/MatthewScottWilcox/ConnettBrewer/蒂莫西·奥利芬特/约瑟夫·索默/琳达·伊蒙/塞伦·希德/麦米·古默/艾比·考尼什/阿里克斯·弗罗斯特,剧情/战争,美国,英语,2008,112
杰克和露丝的情歌,7.8,2130,丽贝卡·米勒,丽贝卡·米勒,丹尼尔·戴-刘易斯/卡米拉·贝勒/凯瑟琳·基纳/瑞安·麦克唐纳德/保罗·达诺/杰森·李/吉娜·马隆,剧情,美国,英语,2005,112
爱你爱我,6.8,1760,林正盛,林正盛,李心洁/张震/戴立忍/蔡振南,剧情/爱情,台湾/法国,台语/汉语普通话,2001,105
是的，弗吉尼亚,8.1,2373,Pete Circuitt,Wayne Best,JenniferLoveHewitt/NeilPatrickHarris/AlfredMolina/BeatriceMiller,动画,美国,英语,2009,22
百分百感觉2003,6.1,1856,马伟豪 (Joe Ma)/锺澍佳,雷宇扬,余文乐/王嘉明/邓丽欣/傅颖/张达明/杨爱瑾/王合喜/梁荣忠/刘以达,喜剧/爱情,香港,粤语,2003,97
上海红美丽,5.2,1206,奥斯卡·L·科斯托,奥斯卡·L·科斯托,邬君梅/理查德·布基/钟镇涛/葛优/孙红雷/莫小棋/RogerYuan,悬疑,美国/中国大陆,英语/汉语普通话,2007,106
时装店风波,7.1,1259,Ingo Rasper,Ingo Rasper,埃德加·泽尔格/弗罗里安·巴西奥罗麦/罗曼·尼泽卡,喜剧/同性/家庭,德国,德语,2007,105
鸡皮疙瘩NO.4,7.3,1175,,,谷村美月/柄本时生/於保佐代子/津田健次郎/松尾谕/木南晴夏/佐津川爱美,恐怖,日本,日语,2008,45
戴手铐的旅客,7.7,1647,于洋,纪明,于洋/马树超/赵子岳/蔡明,剧情/动作/悬疑,中国大陆,汉语普通话,1980,102
罗马假日,9.0,537874,威廉·惠勒,伊安·麦克莱伦·亨特,奥黛丽·赫本/格利高里·派克/埃迪·艾伯特/哈特利·鲍尔/哈考特·威廉姆斯/MargaretRawlings/托里奥·卡米纳提/PaoloCarlini/ClaudioErmelli/保拉·布鲁布尼/里佐·弗雷多里佐/LauraSolari/GorellaGori/ArmandoAnnuale/MaurizioArena/SilvioBagolini/GildoBocci/FrancoCorsaro/JohnCortay/VittoriaCrispo/SidneyGordon/LuigiMoneta/PieroPastore/MimmoPoli/CarloRizzo/GiannaSegale/AmedeoTrilli/HelenTubbs/MarcoTulli/JoopvanHulzen/CatherineWyler/JudyWyler,剧情/喜剧/爱情,美国,英语/意大利语/德语,1953,118
乱世佳人,9.2,370115,维克多·弗莱明/乔治·库克/山姆·伍德,玛格丽特·米歇尔,费雯·丽/克拉克·盖博/奥利维娅·德哈维兰/托马斯·米切尔/芭芭拉·欧内尔/伊夫林·凯耶斯/安·卢瑟福德/乔治·里弗斯/弗莱德·克莱恩/海蒂·麦克丹尼尔斯/奥斯卡·波尔克/巴特弗莱·麦昆/维克托·乔里/埃弗雷特·布朗/霍华德·C·希克曼/艾丽西亚·瑞特/莱斯利·霍华德/兰德·布鲁克斯/卡洛尔·奈/劳拉·霍普·克鲁斯/埃迪·安德森/哈里·达文波特/利昂娜·罗伯特/简·达威尔/欧娜·满森/保罗·赫斯特/伊莎贝尔·朱尔/卡米·金·肯伦/艾瑞克·林登/J·M·克里根/沃德·邦德/莉莲·肯布尔-库珀,剧情/爱情/历史/战争,美国,英语,1939,238
十二怒汉,9.4,239143,西德尼·吕美特,雷金纳德·罗斯,亨利·方达/马丁·鲍尔萨姆/约翰·菲德勒/李·科布/E.G.马绍尔/杰克·克卢格曼/爱德华·宾斯/杰克·瓦尔登/约瑟夫·史威尼/埃德·贝格利/乔治·沃斯科维奇/罗伯特·韦伯,剧情,美国,英语,1957,96
