name,rate,rating_people,director,year,movietime,main_country,main_language,main_genre,second_genre,main_actor,second_actor
进出口,7.3,1453,尤里西·塞德尔,2007,141,奥地利,德语,剧情,剧情,EkaterynaRak,PaulHofmann
猎豹行动,7.1,1672,弗洛朗-埃米利奥·西里,2002,107,法国,法语,动作,惊悚,SamyNaceri,BenoîtMagimel
晴空战士,6.7,1520,Moon-saeng Kim,2003,87,韩国,韩语,动作,科幻,MarcWorden,CathyCavadini
泄密的心,5.7,1583,迈克尔·科斯塔,2009,93,英国,英语,剧情,科幻,乔什·卢卡斯,琳娜·海蒂
海猫,6.7,1420,森田芳光,2004,129,日本,日语,剧情,爱情,伊东美咲,佐藤浩市
火星幽灵,5.3,1615,约翰·卡朋特,2001,98,美国,英语,动作,科幻,娜塔莎·亨斯屈奇,艾斯·库珀
猎杀活死人,5.2,1607,迈克尔·斯派瑞,2003,104,澳大利亚,英语,喜剧,动作,FelicityMason,MungoMcKay
爱情甜不辣,5.8,1499,罗杰·昆宝,2002,88,美国,英语,喜剧,爱情,卡梅隆·迪亚兹,托马斯·简
刀的哲学,6.5,1455,Andrey Iskanov,2008,249,俄罗斯,英语,剧情,恐怖,YukariFujimoto,YumikoFujiwara
再见巴法纳,7.8,1566,比利·奥古斯特,2007,140,德国,英语,剧情,传记,约瑟夫·费因斯,黛安·克鲁格
人口贩卖,7.7,1579,克里斯丁·杜瓦,2005,176,加拿大,英语,剧情,悬疑,米拉·索维诺,唐纳德·萨瑟兰
无法阻挡的婚姻,6.4,1471,金成旭,2007,115,韩国,韩语,喜剧,喜剧,柳真,河锡辰
黑骑士,6.2,1604,吉尔·约格尔,2001,95,美国,英语,喜剧,奇幻,马丁·劳伦斯,玛莎·托马森
海洋热,8.7,1341,陈龙男,2004,104,台湾,汉语普通话,剧情,剧情,HOTPINK,不正仔(Stone)
成长的烦恼：电影版,7.4,1826,Alan Metter,2000,95,美国,英语,喜剧,家庭,艾伦·锡克,乔安娜·科恩斯
吸血少女大战再生萝莉,6.3,1581,友松直之,2009,85,日本,日语,喜剧,动作,川村雪绘,斋藤工
爱未知,6.5,1501,李明世,2007,110,韩国,韩语,剧情,爱情,姜栋元,孔晓振
夜袭,5.7,1559,安澜,2007,85,中国大陆,汉语普通话,剧情,战争,王挺,刘天佐
平凡情人,7.5,1284,菲利普·加瑞尔,2005,183,法国,法语,剧情,剧情,路易·加瑞尔,克洛蒂尔德·埃斯姆
留住最后一支舞,7.3,1458,托马斯·卡特,2001,112,美国,英语,剧情,爱情,朱丽娅·斯蒂尔斯,西恩·帕特里克·汤玛斯
少林少女,3.8,1657,本广克行,2008,107,日本,日语,喜剧,动作,柴崎幸,仲村亨
初始者,6.5,1500,什恩·卡鲁斯,2004,77,美国,英语,剧情,科幻,什恩·卡鲁斯,大卫·苏利文
小尼基,6.5,1496,史蒂文·布里尔,2000,90,美国,英语,喜剧,爱情,亚当·桑德勒,帕特丽夏·阿奎特
我是间谍,6.2,1577,贝蒂·托马斯,2002,97,美国,英语,喜剧,动作,艾迪·墨菲,欧文·威尔逊
